微博id,发布者,发布者id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IvJPrr3KQ,五味杂论,2807316631,突如其来的新冠，打乱了生活的节奏！汽车修理店什么时候开门啊？我的车需要保养，换轮胎！而且洗车行也一直关门，一个多月没洗车了！饭店早餐店也关门了！想搓个澡，洗浴的也关门了！修鞋的、配钥匙的也找不到人了！除了便利店和超市正常营业，大部分行业都还观望和停业！真希望疫情早日过去，彻底解决，再这样下去，真快憋疯了,无,无,2020-02-24 23:59,荣耀9 美得有声有色,0,0,0
IvJPrr1iY,香港文匯網,2632236847,【新冠 | 今日增7宗 其中4人为邮轮乘客】香港卫生署卫生防护中心今晚公布，截至晚上8时，中心正调查7宗新增新冠确诊个案，至今本港确诊个案累计81宗。7宗新增个案中，2名病人均到访过位于北角美轮大厦内的“福慧精舍”佛堂，4名病人为“钻石公主号”邮轮上乘客。,无,无,2020-02-24 23:59,微博 weibo.com,27,2,6
IvJPrb3OY,扬州发布,2571494540,【,无,无,2020-02-24 23:59,微博 weibo.com,15,4,6
IvJPqjGoU,范丞丞男友粉,5655252331,同情谁都不会同情台独🐶 ，除了台湾省中国人能够健康平安，其余的台独🐶 请你们自生自灭哦,无,无,2020-02-24 23:59,范丞丞的丞星,9,0,1
IvJPqjHgX,一颗大肉球子,1842354693,每年不变的三宝乐蛋糕 大面前 外公外婆也给整个大黄油 没有惊喜没有意外 还是叭叭掉了鳄鱼泪 我想听你那句 快乐 没有,无,无,2020-02-24 23:59,iPhone客户端,0,0,0
IvJPqiyL4,就叫一只小花猪吧,5288485763,我的天哪，他们不会要亡省了吧,无,无,2020-02-24 23:59,iPhone客户端,1,0,0
IvJPqh5R5,用户7392208846,7392208846,云南大学研发新冠病毒检测新技术取得阶段性成果 云南大学研发新冠病毒检测新技术取得阶段性成果 ,无,无,2020-02-24 23:59,学习强国客户端,0,0,0
IvJPpFlKH,欣然没烦恼,6437774437,看到这个标题的时候还有些担心，但是看到这张图的时候突然就想起了！当初台湾阔气的把口罩捐给澳大利亚而对于正处在疫情防控阶段的中国大陆采取禁售口罩的措施！现在！特别想说！去你的吧！自己治去吧！活该！别找我们大陆人帮忙！真是自作孽，不可活！ ,无,无,2020-02-24 23:59,OPPO超视野全面屏R15,20,1,3
IvJPpqkH4,我还在长身体ing,6063347521,要加油啊💪 ,无,无,2020-02-24 23:59,iPhone客户端,0,0,0
IvJPp6Dbe,张宝宝成长日记,2981171721,七周岁第六个月第二天。 ,无,无,2020-02-24 23:59,iPhone客户端,0,0,0
IvJPounfG,宋中清主任律师,2726417763,  【：伊朗卫生部官员否认】2月24日，伊朗半官方媒体伊尔纳通讯社称，该国城市库姆在2月13日已有至少50人死于新冠，另有250人被隔离。伊朗卫生部官员否认该报道，称官方数据公开透明。   ,无,http://t.cn/8FYPaxw,2020-02-24 23:59,肺炎超话,4,0,25
IvJPoum2x,创世纪的小短腿,5985539522,我很好奇啊，美国这会有帮助韩国、香港港独、台湾台独等等的干儿子们嘛？,无,无,2020-02-24 23:59,OPPO超视野全面屏R15,138,2,30
IvJPogrdF,疯狂的土人,1415502354,土人精英私教，美好肉体训练基地！——土人先生林凯明  泉州·安踏 ,无,@Keep,2020-02-24 23:59,iPhone 6s,1,0,0
IvJPnCAgW,芝si-,2144616974, 祝病毒早日战胜台独,无,无,2020-02-24 23:59,荣耀V9 我想要的快,4,0,2
IvJPnCAbL,西夏文昌路街道办,3147480497, 实行分区分级精准防控 统筹推进经济社会发展| 咸辉主持召开自治区应对新冠疫情工作指挥部第六次会议实行分区分级精准防控 统筹推进经济社会发展| 咸辉主持召开自治区应对新冠疫情工作指挥部第六次会议 ,无,无,2020-02-24 23:59,华为麦芒5,0,0,0
IvJPnkUXu,周勋750,2800776050,我们来说说一种病毒“传染性”和“拐点”之间的关系。是不是传染性越强的病毒越可怕呢？传染性越强“拐点”就越不容易到来呢？答案有点反常识：不是。我们一起想象一下，像新冠肺炎病毒或者SARS病毒这样传染性极强的病毒，会迅速在人群中传播，迅速杀死一部分人，也迅速让剩下的人产生抗体。但是，在传播一段时间之后，因为总人口是有限的，所以尚未接触到这种病毒的人口比例就开始下降。也就是说，很快地，大部分人就都被感染了。于是，这时候病毒的“传染率”就一定会低于人们从传染中康复的“恢复率”。一旦出现这种情况，那么被感染的人数一定持续下降，“拐点”就差不多到来了。这以后，即使没有医疗干预，疫情最终也会减弱。换句话说，传染性越强的疫情，持续的时间越短，拐点越早到来。像SARS、埃博拉这样强烈传染性的病毒，从统计上看，都遵循这个规律。 ,无,http://t.cn/RJZg4lV,2020-02-24 23:59,iPhone客户端,2,2,2
IvJPmtIM7,小彭今天努力了吗_,3829222062,生死有命富贵在天 明天和意外你也永远不知道哪个会先到来 如果明天我给送了人头 请别忘了我为通信事业做出的贡献！ 长沙 ,无,无,2020-02-24 23:59,HUAWEI Mate 30,1,1,2
IvJPmrvRU,生态黄石,3480504771, 【黄石环境监测站扎实做好疫情防控应急监测工作】2月23日，黄石市纪委监委驻局纪检监察组组长王军、黄石市生态环境局党组书记、局长徐崇斌一行调研黄石环境监测站疫情防控期间应急监测工作，并强调要增强责任感，扎实做好疫情期间水质应急监测工作。王军一行先后参观了重金属省重点分析实验室、有机物重点分析实验室、湖北省大气复合污染预警预报中心（黄石站），现场查看应急监测设备、实验室分析前处理设备、重金属和有机物大型分析仪器（原子荧光光谱仪、原子吸收光谱仪、ICP-MS、GC-MS等）、黄石空气自动站各类污染指标（PM10、PM2.5、臭氧等）监控仪器的运转情况。王军对黄石环境监测站在疫情防控阻击战中发挥一线冲锋作用给予充分肯定。王军指出，目前，全市正处于疫情防控的关键时期，当前要以疫情防控为第一要务。他要求，环境监测部门要进一步提高政治站位，增强责任感和使命感，努力在疫情防控的斗争中体现责任担当，扎实做好全市饮用水源地、定点医疗机构和集中隔离点以及城镇污水处理厂等水质应急监测工作，为疫情防控期间全市强化医疗废水消毒灭菌、控制病毒扩散，保障老百姓生活饮用水安全提供强有力支撑。同时，对向奋战在第一线的环境监测工作人员表示深切问候，叮嘱他们要注重防护措施，保护好自己。截至目前，该站出动采样和分析人次共计130余次，累积出动应急监测次数43次，监测指标共计24项。  ,无,无,2020-02-24 23:59,iPhone客户端,0,0,0
IvJPmrvM1,方敏阿,1797806007,黑中医的，我们拭目以待国外的治愈率吧，韩国日本美国祝你们好运？ ,无,无,2020-02-24 23:59,HUAWEI P20 Pro,7,0,3
IvJPm9RMl,用户7398696015,7398696015,意大利新冠确诊病例增至230例 死亡患者升至5人_手机新浪网  意大利新冠确诊病例增至230例 死亡患者升至5人 ,无,无,2020-02-24 23:59,手机新浪网,0,0,0
IvJPjbZfb,香奈花儿美食家,2893781763, 我是金平巾帼志愿者中的一员。今天我手持体温测量仪，守候在没有硝烟的新战场!为打赢疫情防控攻坚战，尽我们一点绵薄之力!温馨提示,无,无,2020-02-24 23:59,红米Redmi,0,0,0
IvJPikZ5i,一条小鱼干i,5617806024,我爱中国人民，也一样尊重韩国人民，但是，中国人民抗击新冠这一战真的太不容易了，我们的白衣天使用他们自己珍贵的生命换来现在确诊病例日益减少，中国人民憋疯了都不出门的抗疫决心难道抵不过几张机票钱吗？求求政府救救我们吧！,无,#韩国 青岛#,2020-02-24 23:59,前置双摄vivo X9,33,0,3
IvJPhqAUa,林州人林州事儿,5650818549,"【林州市淇河儿女有大爱，无偿献血助战“疫”】2月24日，在临淇镇区东环路，来自全镇各村的群众正在安阳中心血站工作人员指引下，有序排队、测量体温、征询体检、信息登记、无偿献血，以实际行动为打赢新冠阻击战贡献力量。“看到大家都在一线抗击疫情，咱也帮不上忙，今天听说在这里无偿献血，我就和村里几个人一起来了，也算是为抗击疫情尽自己的一份力。”刚刚献完血的南河村村民马彩红高兴地说。在全国上下众志成城抗击新冠肺炎的关键时刻，血液及其制品是挽救包括新冠肺炎患者在内的抢救必需品。由于受新冠肺炎疫情的影响，正常采血渠道供血不足，献血淡季遇上病毒寒冬，安阳市中心血站库存告急，医疗血液保障面临重大挑战。“我们安阳市中心血站是河南省保障武汉医疗临床用血的6家血站之一，目前血库内血液储备严重不足。今天来到这里以后，看到临淇人挺身而出，挽起袖子，献血抗疫，护佑生命，让我们深受感动。临淇人民用实际行动诠释了新时代红旗渠精神，为临淇人民点赞！”安阳市中心血站体采科科长张永亮激动地说。在现场，大家按照防疫要求，每位献血者和采血人员均戴着口罩，并保持一定的安全距离。短短8个小时,共采集血液205人次，献血量81200ml。",无,无,2020-02-24 23:59,林州新媒体Android,1,0,0
IvJPgdxY0,·黑洞资本,6203498405,【：死亡患者升至5人】据欧联网援引欧联通讯社报道，根据意大利紧急民防部当地时间24日最新通报，截止目前，意大利新型确诊患者数量已增至230例，累计死亡患者已升至5人。意大利新冠确诊病例增至230例 死亡患者升至5人 ,无,无,2020-02-24 23:59,无,0,0,9
