微博id,发布者,发布者id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IohSz6LVv,用户7111553729,7111553729,武汉市不明原因最新通报：已排除SARS等病原武汉市不明原因最新通报：已排除SARS等病原  ,无,无,2020-01-06 23:58,iPhone客户端,0,0,0
IohSbrJo3,Queen的留白时空,1732433403,很多人很多事需要相对而言，具体问题具体分析，因为有可能在你觉得稀松平常的事情，会变成西伯利亚的蝴蝶。有的人得了感冒两天就好了，有的发烧感染成了肺炎，有的还病变直接3166。人的自身抵抗力免疫力很重要，治疗时间很重要，用药也重要，遵不遵医嘱也很重要……今天的支付宝账单把我给吓到了，愣是少吃了一碗米饭，觉得自己快穷出新高度了，硬生生花了一辆车呀~我的小心脏。不过朱自清先生说了，事已至此，不必难过，好在天无绝人之路。有一件事情可以让人迅速发家致富，一般人我不告诉他，那就是——做梦呀~快睡吧小伙伴们，晚安,无,无,2020-01-06 23:57,iPhone 7,1,0,0
IohS69NyE,不改名的话不多,1998635905,我爸妈为了喊我我回家 以及怕武汉的 （当然 最主要的还是喊我回家）让我不要这段时间的工资了现在就辞职回家,无,无,2020-01-06 23:57,Android,1,0,3
IohQT5X93,IT科技视界,5108053053,【冬季警惕小儿憋喘性】冬季婴幼儿易发“喘憋性”，这是由于冬季气候干燥，是病毒和细菌活跃的季节，孩子受呼吸道合胞病毒、副流感病毒、腺病毒感染或其他致病微生物感染后，发病急，病情变化快。婴儿家长要特别提高警惕，发现孩子咳嗽、喘憋，要及时就诊。 ,无,无,2020-01-06 23:54,皮皮时光机,0,0,0
IohQe4qQK,搞笑酱子君APPLE,3321968102,稚优泉猫爪单色胭脂膏一体盘自然裸妆元气晒红女提亮肤色 【 惠 券 入 口】 【在 售 价】29.9 元 【券 后 价】29.9 元 【 销   量 】24163 单        ,无,无,2020-01-06 23:52,微博 weibo.com,0,0,0
IohPJyLnb,也许我是对的呢,5642021465,嗯…有点悲伤，今天得知养了半年的圆澳（乌龟）死亡的消息，它是得了，我最后感觉自己治不好它，就寄给一个淘宝商家让他帮我治疗了，结果，居然死了，!!可之前我寄之前它还挺有精力，能吃能动的，所以我现在非常不敢相信……这个得知消息的节点也是巧妙的，过了大半时间，是想等我对龟的热度消散么，，，想了想，还是不要轻易相信陌生人，他不一定会对你所宝贵的东西宝贵，也不要高看“病人”的适应能力，（我后来想想我养着只龟花了两个星期开始吃我的东西，它怎么可能那么快能吃陌生人投食的食物），随之而来的是深深的自责与内疚……最后我想说，在大学寝室养这种宠物真的很不容易，我知道这是违纪的，可我上大学之前一直不知道，我想小小乌龟又不占地方，很多摆设也用这些个的……后来只好对它们负责了……它们?嗯，我那个时候买了两只，只剩一只了，我希望它能好好活下去……,无,无,2020-01-06 23:51,三星android智能手机,0,0,0
IohOQ2bnX,七岁的韦恩,6335349752,据港媒报道：一名来自武汉的妇女在被怀疑患有未知之后擅自离开医院，並給医院留了個假酒店地址，失踪了。目前香港防疫局正在全港寻找。🙁 ,无,无,2020-01-06 23:49,三星Note10＋ 5G,14,1,0
IohOvk2Dq,_Hoila,2709973277,白鲟灭绝，澳大利亚山火物种灭绝，，地震，伊朗，感到焦虑虽然看起来与我没有什么关系“危险在于每个人都无所事事，等待别人替他采取行动” ,无,无,2020-01-06 23:48,iPhone客户端,5,0,1
IohNFmEza,馨爷的低调需要你仰视,2869538384,澳洲的大火，美国伊朗军事紧张，不明原因。生态环境、战争、病毒我说不上哪个更糟糕。 ,无,无,2020-01-06 23:46,间歇性善良Android,17,3,1
IohNk3691,慈悲霹雳,6858040621,“尚未发现明确的人传人证据。”———只是患者在不断增加，连香港都有了😷😷😷武汉市疾控中心：不明原因病例数量还会增加_手机网易网武汉市疾控中心：不明原因病例数量还会增加 ,无,无,2020-01-06 23:45,iPhone客户端,0,0,0
