微博id,发布者,发布者id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IoK7raEIS,广州新闻电台FM962,1752863270,【省疾控：新型冠状病毒暂未发现人传人】在武汉不明原因病毒性肺炎的病原体被确认为新型冠状病毒后，广东省疾控中心方面说，冠状病毒很常见，市民通过做好个人卫生防护，可以比较有效地阻隔病毒传播，而从目前掌握的情况看，新型冠状病毒尚未发现人传人。冠状病毒是人和动物经常感染的常见病毒，通常会引起呼吸道、消化道或者神经系统症状。广东省疾控中心副主任宋铁说：“主要原因是它对上皮细 胞有易感性，所以会引起包括上呼吸道感染，肠道的感染。对于低温它很耐受，但对于越高温的，它的敏感程度越强，易于失活，比如用100℃水就可以灭活，比如酒精就可以使它灭活。”另外，对于近期香港查出有多例疑似病例，宋铁表示，粤港澳三地疾控部门之间也及时进行了信息的互通：“基本上都是我们常见的呼吸道疾病，包括我们常见的冠状病毒229E也就是季节性的呼吸道病原体，跟武汉没有关系，到现在我们也在关注港澳台的信息，没有发现跟武汉相同的病原体，或者有新的病原体发现。”随着春运到来，宋铁提醒，有呼吸道和胃肠道不适的患者，最好避免到人流密集场所：“尤其是坐交通工具，乘坐火车或者公交车，要注意个人的卫生，如果你是有呼吸道疾病的话，要戴口罩，更不应该到人流聚集的地方去，不要引起别人的感染。”来源：广州广播电视台全媒体记者：郑瀚菁,无,无,2020-01-09 23:52,iPhone客户端,0,1,0
IoK5fxrsq,奕人1077067785,1077067785,分享网易新闻《世卫组织关于中国武汉聚集性肺炎病例的声明》世卫组织关于中国武汉聚集性肺炎病例的声明 来自  ,无,无,2020-01-09 23:46,网易新闻客户端,0,0,0
IoK43j42E,幸福的可可,1457403923,『黃加慶：初步判定武漢肺炎病原體為新型冠狀病毒 不會人傳人 - 香港文匯網』 ,无,无,2020-01-09 23:43,HUAWEI Mate 9 Pro,0,0,1
IoK3BeWKA,N视频,6217683074,【动画科普冠状病毒，做好日常防护措施不必惊慌】武汉病毒性肺炎疫情引发社会广泛关注，经过专家组病原检测，病原体初步判定为新型冠状病毒。而在2002年的非典SARS，2012年的中东呼吸综合征，也是由冠状病毒感染引发。冠状病毒是一类主要引起呼吸道、肠道疾病的病原体，整个病毒颗粒就像一顶帝王的皇冠，因此得名“冠状病毒”。那么，冠状病毒是什么？有什么特点？新型病毒传人吗？在流感高发季，我们应该如何预防被感染？  ,无,无,2020-01-09 23:42,科学科普 · 视频社区,550,208,51
IoK3fFMIu,用户7244270987,7244270987,就武汉不明原因的病毒性肺炎疫情病原学鉴定进展问题，专家组认为，本次不明原因的病毒性肺炎病例的病原体初步判定为新型冠状病毒。  ,无,无,2020-01-09 23:41,科普中国,0,0,0
IoJZUxaHA,医疗音乐手绘君,1758904723,【挖鼻孔增加肺炎风险,无,#春节健康攻略#,2020-01-09 23:33,点滴医事超话,8,3,2
IoJYJxd72,品天下事,3136239185,最新！武汉不明原因肺炎病原体：新型冠状病毒！科普一下，它是什么？ 央视财经的快手视频 ,无,无,2020-01-09 23:30,快手,0,0,0
IoJXu93NT,小燕子1986507710210,6507710210,就武汉不明原因的病毒性肺炎疫情病原学鉴定进展问题，专家组认为，本次不明原因的病毒性肺炎病例的病原体初步判定为新型冠状病毒。  ,无,无,2020-01-09 23:27,科普中国,0,0,0
IoJVM5Lix,如是观照,7303940094,武汉不明原因的病毒性肺炎疫情病原体初步判定为新型冠状病毒 武汉不明原因的病毒性肺炎疫情病原体初步判定为新型冠状病毒  来自 ,无,无,2020-01-09 23:23,东方财富手机版,0,0,0
IoGf6DKPc,解放日报,3114175427,【武汉不明肺炎源于“新型冠状病毒”，卢洪洲：不必恐慌，接种疫苗是最有效预防手段】卢洪洲指出，冠状病毒感染在全世界范围内都非常普遍，公众不必恐慌。冠状病毒是一类主要引起呼吸道、肠道疾病的病原体。这类病毒颗粒的表面有许多规则排列的突起，整个病毒颗粒就像一顶帝王的皇冠，因此得名“冠状病毒”。目前为止，已知的人类冠状病毒共有六种。其中HCoV-229E、HCoV-NL63、HCoV-OC43和HCoV-HKU1四中冠状病毒感染机体后大多呈自限性经过，以鼻塞、流涕、打喷嚏等“普通感冒”症状为主，少数可有神经系统并发症。,无,无,2020-01-09 14:00,微博 weibo.com,5,4,0
IoGe4wlw6,曾铠琪,3822594109,區已完,无,无,2020-01-09 13:57,iPhone XS,358,3,89
IoFeapPyL,微吉州,6642214683,【】1月9日，据 ，武汉不明原因病毒性肺炎疫情病原体初步判定为新型冠状病毒。截至7日21时，实验室检出一种新型冠状病毒，获得该病毒的全基因组序列，经核酸检测方法共检出新型冠状病毒阳性结果15例，从1例阳性病人样本中分离出该病毒，电镜下呈现典型的冠状病毒形态。 ,无,无,2020-01-09 11:25,iPhone客户端,0,0,0
IoF8vkrQD,广东反邪教,3812962991,【快讯！】据武汉市卫生健康委：1月8日，武汉市8名不明原因的病毒性肺炎患者治愈出院。8名患者之前在武汉相关医院诊治，后均集中收治在武汉市金银潭医院。经医疗机构诊疗救治，已连续多日无发热、肺炎等临床表现。临床专家诊断后，认为符合出院标准，可以出院。（央视）,无,无,2020-01-09 11:11,微博 weibo.com,0,4,0
IoF64jSDh,青岛日报官方微博,2118120483,【专家称武汉不明原因肺炎病原体为新型冠状病毒】据新华社消息，日前，就武汉不明原因的病毒性肺炎疫情病原学鉴定进展问题，记者采访了病原检测结果初步评估专家组组长、中国工程院院士徐建国。他表示，专家组认为，本次不明原因的病毒性肺炎病例的病原体初步判定为新型冠状病毒。,无,无,2020-01-09 11:05,微博 weibo.com,2,1,0
IoEuhpEs7,人民网湖南频道,7016097635,【】就武汉不明原因的病毒性肺炎疫情病原学鉴定进展问题，截至7日21时，专家组认为，本次不明原因的病毒性肺炎病例的病原体初步判定为新型冠状病毒。获得该病毒的全基因组序列，经核酸检测方法共检出新型冠状病毒阳性结果15例，从1例阳性病人样本中分离出该病毒，电镜下呈现典型的冠状病毒形态。,无,无,2020-01-09 09:31,专业版微博,0,0,0
IoEnj4iN1,流言勿听,1937287942,上次的SARS到这次新型冠状病毒，其祸根都是因为一些人贪恋野味导致的。乱吃野味，不仅破坏生态，弄不好还染上治不了的病，甚至丢了性命。祖先用几千年的经验，已给我们挑选出最适合食用的禽畜，所谓野味只能满足暂时的口欲，害人还可能害己 ,无,http://t.cn/AigyPg6d,2020-01-09 09:14,荣耀8青春版 颜值担当,3,0,0
IoE4f98kM,本元禅师,6228689857,【】据央视，就武汉不明原因的病毒性肺炎疫情病原学鉴定进展问题，记者今天从病原检测结果初步评估专家组了解到，截至2020年1月7日21时，实验室检出一种新型冠状病毒，获得该病毒的全基因组序列，经核酸检测方法共检出新型冠状病毒阳性结果15例，从1例阳性病人样本中分离出该病毒，电镜下呈现典型的冠状病毒形态。专家组认为，本次不明原因的病毒性肺炎病例的病原体初步判定为。下一步需结合病原学研究、流行病学调查和临床表现进行专家研判。（人民日报）,无,无,2020-01-09 08:27,HUAWEI Mate 20,6,5,1
