微博id,发布者,发布者id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
InGajqsDc,啰嗦的欧尼酱,6220657601,没生病的自然是好事 但还是要多多预防 不要觉得事不关己 我前天也是这样事不关己的心态 结果这两天病起来真的要命 咳得停不下来 嗓子呼呼的疼 鼻子度到不能呼吸 有时候就是说病就病了 还是好好预防吧 ,无,无,2020-01-02 23:57,iPhone客户端,10,0,6
InG8Y7UAF,九州微言,2821638943,【 家属：此前病人恢复良好】1月2日，武汉华南海鲜市场肺炎疫情持续引发关注。在武汉医疗救治中心，一位患者家属对 称，患者经治疗恢复良好，但是30日晚上被通知继续留院治疗，“原本1号2号就可以出院”。该患者家属表示，目前无法探望。,无,无,2020-01-02 23:54,九州微评超话,5,3,6
InG8VdkI6,从宇宙黑洞飞出火凤凰,5586933121,【陈肇始：香港暂未发现与武汉相关个案 将每日公布监测数字】因应武汉出现不明原因肺炎个案，香港特区政府召开跨部门会议。食物及衞生局局长陈肇始在会后见记者时表示，香港暂时未发现与武汉相关的严重肺炎个案，为回应社会关注，当局将每日公布监测数字。 （香港文汇网）详情： ,无,无,2020-01-02 23:54,Android客户端,0,0,0
InG8G6nFI,小喻有点甜_,2139099440,被搞得人心惶惶 对号入座最近这波感冒挺严重的 被浸润在流感病毒里感觉我也咳咳哼哼地悄然而至😷都要照顾好自己鸭 身体健康最重要了 ,无,无,2020-01-02 23:53,HUAWEI P20,4,0,1
InG47zuMk,聚福园社区,2105172301, 不明原因肺炎为同时具备以下4条，不能明确诊断为其它疾病的肺炎病例：1、发热（腋下体温≥38℃）；2、具有肺炎的影像学特征；3、发病早期白细胞总数降低或正常，或淋巴细胞分类计数减少；4、经规范抗菌药物治疗3－5天，病情无明显改善或呈进行性加重。曾暴发过的SARS、MERS以及人感染高致病性禽流感都属于不明原因肺炎之列。注意常开窗通风，勤洗手，打喷嚏、咳嗽要避开他人，不要和他人共用餐具毛巾等密切接触的物品。外出时尽量避免在人群密集、空气流通不畅的公共场所长时间逗留。如有疑似症状，请尽早就医。,无,无,2020-01-02 23:42,iPhone客户端,6,0,0
InG3YrCDu,免费占卜师沐沐,5902444044, 感觉网友们对着这个事件比武汉人更加重视,无,#武汉肺炎疫情患者被要求继续留院#,2020-01-02 23:42,小米8周年旗舰手机,350,1,57
InG1i791K,谷禾在线,5640881691,【 家属：此前病人恢复良好】1月2日，武汉华南海鲜市场肺炎疫情持续引发关注。在武汉医疗救治中心，一位患者家属对 称，患者经治疗恢复良好，但是30日晚上被通知继续留院治疗，“原本1号2号就可以出院”。该患者家属表示，目前无法探望。,无,无,2020-01-02 23:35,荣耀Play 让快更快,1,2,1
InG0ovxhc,邓连杰营养师,3412509980, 【肺炎有哪些表现？ 】1. 发烧畏寒怕冷，发热超过3天，最高达到40℃。2. 喉咙不舒服喉咙干、痒、痛，小儿则可能表现为厌食。严重的会出现头痛，浑身酸痛，甚至呼吸急促。3. 咳嗽病毒性肺炎多为阵发性咳嗽，并且多无痰，一般为干咳，而细菌性肺炎痰液较多，痰液多呈脓性，甚至可有颜色。4. 身体无力肌肉酸痛，头痛，乏力，感觉浑身没劲。当身体出现这些症状，一定要及时去医院治疗。,无,无,2020-01-02 23:33,iPhone客户端,10,4,6
InFZteZE1,骨科小锤子,6992223361,安全是第一位的！按要求行事，无规矩不成方圆！支持！ 赣州·于都县 ,无,#武汉肺炎疫情患者被要求继续留院#,2020-01-02 23:31,想主刀的锤iPhone XR,10,0,8
InFYLvs7G,银河漫游指北,6425757731,我觉得不必人心惶惶，但是也真没必要宣扬“根本没啥人戴口罩，一点事儿没有”的心大言论，感觉很无知。戴口罩是保护自己同时也保护别人，利人利己，是面对疫情一种基本的防护措施。哪怕是普通感冒，被传染了也要身体不舒服好一阵子，小心一点总是好的不是吗？希望大家都健康平安。,无,无,2020-01-02 23:29,小米9 SE,190,3,17
