微博id,发布者,发布者id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Ip22g3il7,石家庄说事儿,5736230891,【拍摄百天照导致孩子住院，我们该怎么办？[流泪]】匿名网友：孩子在12月22日，通过美团网购买百天照预约到店拍摄，由于商家服务人员不足，室温过低等情况，导致孩子生病咳嗽住院。与商家沟通，商家推卸责任，说与他们无关，要求提供商家当日店内监控，商家声称监控当天没开。无良商家坑害孩子！我们想给孩子要个说法找回公道。我们该怎么办？希望可以得到帮助，谢谢！[流泪],无,无,2020-01-11 21:28,荣耀10青春版,0,0,0
IoYKdajZM,医学界网站,2780297340,【官方最新通报：武汉病毒性出现1例死亡病例！】2020年1月11日，武汉市卫生健康委，在其官网接连发布两则通报称，截至1月10日24时，初步诊断有新型冠状病毒感染的病例41例，其中重症7例、死亡1例，其余患者病情稳定。死亡患者为男性，61岁，因呼吸衰竭、重症入院，同时患有腹部肿瘤及慢性肝病。该患者常年在武汉市华南海鲜市场采购货物。入院后给予对症支持、抗感染、呼吸机辅助呼吸、持续ECMO体外生命支持等治疗后，症状无好转，于2020年1月9日晚心跳停止，经抢救无效死亡。,无,无,2020-01-11 13:06,三星 GALAXY Note8,30,12,5
IoYIfpIQm,安徽蒙城检察,5571990533,【武汉通报不明原因情况：目前初步病例41例 死亡1例】国家、省市专家组对收入医院观察、治疗的患者临床表现等进行综合研判，初步诊断有新型冠状病毒感染的病例41例，其中已出院2例、重症7例、死亡1例，其余患者病情稳定。所有密切接触者739人，其中医务人员419人，均已接受医学观察，没有发现相关病例。,无,无,2020-01-11 13:01,专业版微博,0,0,0
IoYC2EHbg,重庆检察,5915215161,【武汉确诊41例感染新型冠状病毒患者 死亡1例】武汉市卫生健康委11日晨发布通报称，在“不明原因的病毒性”病原体初步判定为新型冠状病毒之后，武汉卫健委组织对现有患者标本进行检测，截至1月10日24时，初步诊断有新型冠状病毒感染的病例41例，其中重症7例、死亡1例，其余患者病情稳定。  ,无,无,2020-01-11 12:46,iPhone客户端,0,0,0
IoYuhAPQy,网易河南,2949898672,【 曾常年在华南海鲜市场采购】1月11日，武汉通报不明原因，初步诊断新型冠状病毒感染的病例41例，已出院2例，重症7例，死亡1例。所有密切接触者未发现相关病例。 死亡病例为61岁男性，曾常年在华南海鲜市场采购。此次病例大部分都有华南海鲜市场暴露史，目前未发现明确人传人证据。  ,无,无,2020-01-11 12:26,荣耀8X Max,0,0,0
IoYoXiMxM,湖北电视台官方微博,2659630083,【1月3日以来未发现新发病例，未发现医务人员感染，未发现明确的人传人证据】在“不明原因的病毒性肺炎”病原体初步判定为新型冠状病毒之后，国家、省市专家组立即对不明原因的病毒性肺炎诊疗、监测等方案进行修订完善。武汉市卫生健康委组织对现有患者标本进行了检测，截至2020年1月10日24时，已完成病原核酸检测。国家、省市专家组对收入医院观察、治疗的患者临床表现、流行病学史、实验室检测结果等进行综合研判，初步诊断有新型冠状病毒感染的肺炎病例41例，其中已出院2例、重症7例、死亡1例，其余患者病情稳定。所有密切接触者739人，其中医务人员419人，均已接受医学观察，没有发现相关病例。疫情发生以来，武汉市在国家和湖北省的支持下，各相关部门通力协作，防治工作有序进行：一是全力救治患者。制定诊疗工作方案，切实做到早发现、早诊断、早隔离、早治疗，集中专家和资源全力救治。二是深入开展流行病学调查。调查发现患者主要为武汉市华南海鲜批发市场经营、采购人员，2020年1月1日已对华南海鲜批发市场采取休市措施，并对全市公共场所，特别是农贸市场进一步加强防病指导和环境卫生管理。三是广泛宣传防病知识，增强公众自我防护意识。四是配合国家和省进行病原学研究。五是配合国家卫生健康委及时向世界卫生组织等通报疫情信息。自2020年1月3日以来未发现新发病例。目前，未发现医务人员感染，未发现明确的人传人证据。我市将继续加强患者救治、流行病学调查，深入开展爱国卫生运动，做好防病知识普及，维护人民群众身体健康。当前，正处于冬春季传染病高发季节，公众要保持室内空气流通，尽量避免到封闭、空气不流通的公众场合和人群集中地方，必要时可佩带口罩。如有发热、呼吸道感染症状，特别是持续发热不退，要及时到医疗机构就诊。,无,无,2020-01-11 12:13,Android,3,2,0
IoYmjxZaq,都市快报,1847582585,【最新！武汉不明原因导致一人死亡，系61岁男性，常年在海鲜市场采购】今早，武汉卫健委发布关于不明原因病毒性情况通报：国家、省市专家组对收入医院观察、治疗的患者临床表现、流行病学史、实验室检测结果等进行综合研判，初步诊断有新型冠状病毒感染的病例41例，其中已出院2例、重症7例、死亡1例，其余患者病情稳定。所有密切接触者739人，其中医务人员419人，均已接受医学观察，没有发现相关病例。,无,无,2020-01-11 12:07,微博 weibo.com,3,0,0
IoYdczabA,家庭美食记,6638916881,  全国绝大部分地区进入了冬季的寒冬季节了，在冬天注意防寒保暖的同时，还要注意这些：1，不要长时间呆在密闭的空间里，哪怕是家里开着暖气，空调等，也要注意开窗通风，切记2，在大城市里，出门尽量戴口罩，冬天是汽车尾气排放污染最严重的季节3，尽量少去人员密集的地方，比如大型的商场，菜场，庙会，医院等等，能不去就不去4，有感觉自己身体不舒服要及早的吃药或去医院检查，不要拖5，不要熬夜，不要节食，提高自己身体的抵抗力6，穿衣服要尽量穿的暖和点，别为了风度不要温度，尤其是女孩子,无,无,2020-01-11 11:44,微博 weibo.com,4,0,2
IoXVtkAfA,经济之声,1704819467,【】问：本次疫情病例是怎样诊断的？答：根据患者临床表现、流行病学史和病原学检测结果综合研判。问：本次疫情病例临床表现上有什么特点？答：临床表现为发热、乏力等全身症状，伴有干咳，住院患者呼吸困难较为常见。绝大多数患者入院时生命体征大致平稳。问：目前出现一例死亡病例，具体是什么情况？答：患者为男性，61岁，因呼吸衰竭、重症入院，同时患有腹部肿瘤及慢性肝病。该患者常年在武汉市华南海鲜市场采购货物。入院后给予对症支持、抗感染、呼吸机辅助呼吸、持续ECMO体外生命支持等治疗后，症状无好转，于2020年1月9日晚心跳停止，经抢救无效死亡。病原学检测结果提示新型冠状病毒核酸阳性。死亡诊断为重症，急性呼吸窘迫综合征（重度），脓毒性休克，多器官功能衰竭，严重酸碱代谢紊乱，肝硬化。直接死亡原因为呼吸循环衰竭。问：通报中说“自2020年1月3日以来未发现新发病例”，这意味着什么？答：根据国家、省市专家的流行病学调查，这次武汉不明原因的病毒性病例发病全部在2019年12月8日到2020年1月2日之间。自2020年1月3日以后，临床和流行病学调查显示，没有发现新感染发病的病人。问：如何理解“未发现明确的人传人证据”？答：根据国家、省市专家的流行病学调查显示，这次武汉不明原因的病毒性病例大部分都有华南海鲜市场暴露史，目前没有发现明确的人传人证据。我们还在进一步开展流行病学调查和相关的实验室检验检测。另外，截止目前所有密切接触者包括医务人员都未发现相关病例。（武汉市卫生健康委员会）,无,无,2020-01-11 11:01,无,1,0,0
Ip2IAm6Yn,北京平谷中医院,3108934021,『武汉新型致死1人，专家解读来了……』武汉新型致死1人，专家解读来了…… ,无,无,2020-01-11 23:13,HUAWEI Mate 9,0,0,0
