微博id,发布者,发布者id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IpEHPpKLD,云想霓裳-KARYS,5582808352, 生病那些事：积极就医、心态稳住。希望不会转化成。服用药片的单位不知道是不是mg……脑子昏昏涨涨的……惠请指正，感谢。 ,无,无,2020-01-15 23:55,HUAWEI P10 Plus,0,0,0
IpEFfhDn9,笑着对你说689,6978792896,我在看：武汉出现不明原因病人_新浪专题  (下载客户端:新浪新闻 ) ,无,无,2020-01-15 23:49,新浪新闻客户端,0,0,0
IpEEbohbT,Miss_sara,1727494302,我免费围观了  的回答，问题价值 49.00 元，快来一起免费围观~ <br />微博问答:你好医生，我儿子11.30开始高烧，3天后退烧，好了3天又发烧，期间去医院做了检查说是细菌感染，拍了片说是支气管，孩子只是轻微咳嗽，吃了头孢，后来又发烧去检查又查 ,无,无,2020-01-15 23:46,微博 weibo.com,0,0,0
IpEDZgJQv,-SHINYTING,1912675553,哎，好揪心，好焦虑。小宝从出生就一直感觉鼻子呼呼的，每次医生查房听诊都没事。出月子快二十天了，这两天感觉鼻子堵加重了，平时不吐奶不呛奶的，这两天也比较频繁了，加上最近流感肺炎到处都是，就开始担心。犹豫了好久才决定带去检查，结果人民医院说是肺炎要住院，当时眼泪就出来了。不想这么小就全托住院，主要是小宝其他症状都没有，能吃能睡的。然后马上又去妇幼检查，妇幼医生又说没事，回去观察。老母亲现在真是不晓得相信谁了。只能明天再去拍个片子，等结果。回来都变得神经质了，看小宝哪里都觉得不正常。一担心奶也没有就,无,无,2020-01-15 23:46,OnePlus 7 Pro,0,0,2
IpEDGjaiJ,用户7091391665,7091391665,半个多月以来，武汉华南海鲜市场不明原因事件持续引发关注。据最新消息，病原体系一种新型“冠状病毒”。这是一种什么病毒？人类和病毒的关系你知道多少呢？  ,无,无,2020-01-15 23:45,科普中国,0,0,0
IpEBpD0XD,飘落a枫叶,1773037504,武汉通报不明:不排除人传人 有家庭聚集性病例 武汉通报不明:不排除人传人 有家庭聚集性病例  ,无,无,2020-01-15 23:39,UC浏览器Android,0,0,0
IpEBaBZPG,爱小米辣和盐的小厨娘,2037748283,入职以来，一直在培训，然后听大区和部门的述职会。新的团队伙伴们都干劲十足，风格专业都很多样。重点是，好多同学的手都太好看了，看得我心花怒放,无,无,2020-01-15 23:39,iPhone X,0,0,0
IpEB50roX,东粥皮惕骂西浦,5998052026,从容、让人沉醉不已：清淡而悠扬、4.懒得洗手易被感染肠炎：3.懒得刷牙增加风险……曲中流露出对往事的回忆、【懒的代价】1.懒得动弹导致过度肥胖……温馨扑面而来……超好听轻音乐《withanorchid》…… 眉山·赵记大凉山放养生态羊肉馆(陵州路店) ,无,无,2020-01-15 23:39,iPhone客户端,0,0,0
IpEB19hma,我是唯一333,3037724124,马上都要过年了，我还出差过来了！还是在武汉闹的时候！,无,无,2020-01-15 23:38,iPhone客户端,2,0,3
IpEzuzgbI,爱笑in柠宝,5636123132,急忙飞回杭州,无,无,2020-01-15 23:35,vivo X23 AI非凡摄影,1,0,0
IpEyssixP,雷鸣VO,5479573579, 武汉卫健委通报新型情况：不排除人传人可能 存在家庭聚集性病例武汉卫健委通报新型情况：不排除人传人可能 存在家庭聚集性病例 来自 ,无,无,2020-01-15 23:32,腾讯新闻客户端,0,0,0
IpEwnBs1K,面向黑海浪滔天,2047745162,武汉那事，又说是不排除人传人可能，这病真是防不胜防，真得留心。与年轻人，问题不大，与老年人，搞不好就是要命的事，多多注意绝没有错。上次萨斯，生于活禽市场，这次武汉，生于海鲜水产市场，下次真还不知要生于什么市场。不过各种市场的卫生是真的要重视了，祸端就发端于卫生太差 ,无,无,2020-01-15 23:27,360安全浏览器,4,1,3
IpEv2AlNx,用户5878544160,5878544160,你们只知道推卸责任不知道这样会给我们这个家带怎样的灾难，他是这个家的经济支注孩子的父亲，因为他受伤住院我的劳累担心导致孩子早产住院又伴随着，气胸和心脏缺陷我都没有说一句话，而现在医院催交医药费我们找你们，你们却不管了最可恨的连生活费都不再给了。没道德黑心的，黔西县众发电力施工有限公司和黔西县众源电力施工有限公司 ,无,http://t.cn/RXm78AU,2020-01-15 23:24,柔光自拍vivo X7,1,2,2
