微博id,发布者,发布者id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IplRRgQgB,珠海中草药,1801927523,做一款辟瘟香预防新冠状病毒所致武汉  ,无,无,2020-01-13 23:58,微博国际版,0,0,0
IplR0BWCl,一带一路交响曲,6069722779,与死神赛跑！为抢救9月龄患儿 这位护士跪了40分钟。19年12月13日，一名9个多月大患重症的患儿因呼吸衰竭，被收治到广西省富川瑶族自治县人民医院重症医学科进行抢救，在施行气管插管时需要放牙垫固定，由于小宝宝没有牙齿，加上躁动不配合，很难固定好呼吸机。为了完成抢救任务，护士岑晶一跪就是40分钟，患儿成功抢救后，她才发现自己的两腿已经酸胀麻木。目前，经过医护人员的细心医治，患儿已经脱离生命危险，健康出院。,无,无,2020-01-13 23:56,360安全浏览器,3,0,2
IplPE9FyI,心月狐狸,6602717602,《武汉市卫生健康委员会关于新型冠状病毒感染的情况通报》2020年1月12日0—24时，武汉市无新增新型冠状病毒感染的病例，治愈出院1例，无新增死亡病例报告。 ,无,无,2020-01-13 23:52,百度极速版,0,0,0
IplPv0oDY,等方成圆,1843612553,该死的，让我的宝贝受尽折磨,无,无,2020-01-13 23:52,iPhone客户端,1,0,2
IplNvtSmZ,云端育儿-云妈,3305068401, 孩子需不需要打计划外疫苗？现在很多的爸爸妈妈都在关注儿童应不应该接种疫苗的话题，毫无疑问见的疫苗是必须接种的。但如果是一些特殊的，属于计划外的疫苗例如：、流感疫苗等，孩子到底需不需要打？对此，我们就对相关的疫苗接种专家进行了咨询，并整理了他们的意见后给大家做一个汇报。接种疫苗的专家称：计划外的疫苗是不强制的，家长可以根据特定情况进行选择要不要打的。可见这是遵循大家的自愿原则，常见的计划外疫苗有甲肝疫苗、麻风腮疫苗(预防麻疹、风疹和腮腺炎的疫苗)、肺炎疫苗、b型流感嗜血杆菌(Hib)疫苗、口服轮状病毒疫苗、水痘疫苗、流感疫苗、狂犬病疫苗等。那计划外的疫苗，我们怎么为孩子选择到底要不要打呢？对此，专家的建议如下：孩子的体质是首当其冲要考虑的问题，对于有的七个月以上的宝宝抵抗力很差，患有很多的疾病，有的是天生的心脏病，或者是哮喘、慢性肾炎、糖尿病等，一旦社会中出现了流感病毒，这些宝宝就很容易患病，甚至会导致旧病发作或加重。面对这样的情况，家长就需考虑到应为宝宝接种流感疫苗；若两岁以上经常患上呼吸道感染性疾病的宝宝，家长就可考虑到要为宝宝接种肺炎疫苗；如果家里养了宠物的家长应相当特别的注意，无论小孩或大人被动物咬伤还是抓伤，都要到医院中立即注射狂犬病疫苗。除宝宝身体方面外，还要根据宝宝生活的具体环境做出一些特别的接种疫苗的选择，比如果是经常参加集体活动的宝宝可以考虑接种水痘疫苗，对于独立居住、不参加集体托幼的宝宝，可不接种。最后家长要提醒家长注意的是如果孩子不经常在家吃饭，家长最好就要给孩子接种甲肝疫苗，每年三月到九月也就是差不多秋冬两季，都是人们感染轮状病毒的高峰期，最明显的症状就是引起人们腹泻，但这种疫苗只有一年半的保护期。其实，计划外疫苗和计划内疫苗是一样的作用机理，可保护宝宝健康的健康，提高其免疫力，增强抵抗疾病的能力。您可以根据专家的建议进行选择孩子要不要打某种计划外疫苗，但是小编个人觉得处于安全考虑所有经济条件允许的孩子最好要打计划外疫苗，因为“存在的都是合理的”，为了孩子的健康，多花费些金钱也是值得的。当然，到底要不要打计划外疫苗您心里肯定也有想法。总之，孩子健康是我们都希望的。,无,无,2020-01-13 23:47,Redmi 7,0,0,0
IplNftaAG,逍笼,3941946487, 一定要保重身体啊！我宁愿你什么事都不做好好调养身体，把治好，安心休息，身体最重要！ ,无,无,2020-01-13 23:46,华为手机 畅享玩不停,0,0,0
IplMdDeJF,小梦小梦整日做梦,2362294935, 作为一个才粉上嘉伦的新粉  我看到这篇文字我真的好心疼嘉伦他那么好一个大男孩却要被这样对待作为一个粉丝  我恨不得把所有好的都给他可是这个垃圾团队却这样对嘉伦今天下午松韵在旁边喝着热水  可是嘉伦就只有冷水喝  他肺炎还没好了  怎么可以这样对他,无,无,2020-01-13 23:44,任嘉伦超话,53,2,24
IplM6jwn4,开心开心妖开心,2425018477,咳嗽………得。。。我睡不着。。。如果没有现代医学，我一定死在12岁的那场…要么死在今年（呸）,无,无,2020-01-13 23:43,HUAWEI nova 2 Plus,0,0,0
IplIG6qRr,北邙老汤,6456002769,图解疾病|  ,无,无,2020-01-13 23:35,iPhone客户端,0,0,0
IplHL7jKb,加拿大超级生活sUperLIFE,2321390724, 多伦多圣米高医院的传染病学医生Dr. Kamran Khan指出，由于SARS和武汉疫情都起源于露天市场，市场既出售活体动物也出售死动物，病毒的来源相类这一点不容忽视。他也指出，“在当今世界，疾病的蔓延速度令人难以置信，而我们实际上甚至还不知道这是什么。”，新闻：,无,无,2020-01-13 23:33,微博 weibo.com,5,1,1
