微博id,发布者,发布者id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
ItUHil1g8,何俊杰言语集,5581218969,记《2020“春运第32天·严防》今天（2020.2.10）是春运的第32天！晴.不太冷！又开始陆续复工啦……人员往来和流动的增多，更加需要注意[em]e401095[/em]要严防死守。新冠肺炎疫情......主战场在武汉在湖北，今天也开始发起“总攻”号角。汇聚全国四面八方的强大医护力量，和广大人民群众的齐心协力共同发力，将武汉的湖北的疫情拿下最终消除。记《2020“春运第33天·心声》今天是春运的第33天！阴雨.有点冷！每天看到今次的新冠状病毒（COVID-19）的有关报道......心里总有一种莫名的感觉！既感动于广大医护人员的奋勇抗疫，亦感激那些自觉响应国家号召的居家者。祝福吧……由衷的希望本次疫情早日消除！患者早日康复！记《2020“春运第34天·尽责》今天是春运的第34天！晴.不太冷！各司其职！各尽所能！尽职尽责！我想在应对......今次的新冠疫情更需如此吧！也只有这样，并且每个人都听众指挥服众安排，自觉自愿的遵守法规和号召。,无,无,2020-02-12 23:59,iPhone客户端,1,0,0
ItUHhckxy,沈正彥,1748286623,武漢下 特朗普狠削世衛一半撥款  - 香港經濟日報 - 即時新聞頻道 - 國際形勢 - 環球政治 - D200212 ,无,无,2020-02-12 23:59,iPhone客户端,1,0,0
ItUHhbjRn,FM99香格里拉之声,1858365182,新冠疫情爆发以来，84 岁的钟南山院士再次挂帅专家组组长。钟南山院士是我国呼吸道疾病领域的专家，在 2003 年抗击非典做出了重大的贡献。但疫情期间，也有很多人打着钟南山院士的名号传播谣言。今天丁香医生整理了钟南山院士近两日的公开言论和回应——一共 11 个关于疫情的判断。 ,无,无,2020-02-12 23:59,iPhone客户端,0,0,0
ItUHh9Z1e,谢胜92034,5943573808,武汉市新冠疫情防控指挥部致全市人民的一封信  ,无,无,2020-02-12 23:59,学习强国客户端,0,0,0
ItUHfEVOm,黔中平坝,2709979734, 贵州省市场监督管理局发布关于疫情防控期间饮食安全的消费提示 ,无,无,2020-02-12 23:59,贵州发布超话,3,1,1
ItUHf4INa,筱筱雅果果,5674214083,新冠是自限性疾病 支持疗法很重要 新冠是自限性疾病 支持疗法很重要 ,无,无,2020-02-12 23:59,学习强国客户端,0,0,0
ItUHet15V,深圳美莱口腔官微,6548424580,【】海关总署12日发布数据，1月24日至2月11日，全国海关共验放进口疫情防控物资8.7亿件，价值28.4亿元。其中，口罩7.3亿只、防护服741万件、护目镜154万副、消毒物品153万件、药品222万件、医疗器械134万件。 ,无,无,2020-02-12 23:59,iPhone客户端,1,0,0
ItUHetVNS,狂奔蜗牛S,1733289255,"日本援助中国抗击的物资，都附有一句诗。支援武汉高校：山川异域，风月同天。支援湖北：岂曰无衣，与子同裳。支援辽宁：辽河雪融，富山花开。同气连枝，共盼春来。支援大连：青山一道同云雨，明月何曾是两乡？ 有时候真的不要不服气，思想上的狭隘、贫瘠，一不小心就秀了智商下限。Run to the rescue with love, and peace will follow.崎岖路，长情在…",无,无,2020-02-12 23:59,iPhone客户端,3,0,0
ItUHewe6P,全民旅游疯,2676800794, 【公告：2020年陕煤实业木王、黎坪景区将对全国医务工作者实施年度免门票政策】2020年的鼠年春节，对于所有中国人来说，都是印象深刻的一年。新型冠状病毒感染的突然出现与发展，时刻牵动着所有人的心。随着疫情的不断发展，全国各地开始纷纷启动一级响应。       危急时刻，他们义无反顾披上白衣战袍，坚定前行，与病毒作战，与死神抗争，他们，就是被称为“最美逆行者”的伟大医务工作者。by,无,无,2020-02-12 23:59,HUAWEI P30,1,0,0
ItUHdBJrA,一医一世界,5598743664,刚才的症状描述很像少阳证的描述但是同样的分析就认为不是。如果是寒邪入少阳，肺部血管动脉部分紊乱，病人会发热和寒交替，咳嗽不一定重，血氧饱和度不会有变化，气伤的较重，所以全身乏力的很。但是这一帮的人，轻症的那些，都挑广场舞了。 ,无,无,2020-02-12 23:59,小米9,5,0,0
