微博id,发布者,发布者id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
InZ1vgEYW,关于猫,1839767440,嗯，上次在我转发的海王星合水星的那个帖子里，外说的话，你们谁信了?没沾沾自喜的意思，我只对“命运”这个东西感到恐惧。//分享网易视频《武汉不明原因病毒性肺炎：已发现患者44例，其中重症11例》 来自  ,无,无,2020-01-04 23:58,网易新闻客户端,0,0,0
InZ0WFaDi,小紫维尼呀,1685241194,自己很会刷牙,无,无,2020-01-04 23:57,HUAWEI nova 2s,2,0,2
InYYQmrUq,狮城日记,5180191621,今天开始，新加坡当局对从武汉直飞新加坡樟宜机场的旅客，进行体温扫描检测。然而据卫生部消息，一名曾到过武汉的中国籍3岁女童在新加坡出现肺炎症状，目前已接受住院和隔离治疗，至于具体病因还需进一步检查。目前新加坡只有酷航和乌鲁木齐航空这两个往返武汉的航班，现在武汉肺炎还没确定病因，作为小国新加坡更是慎之又慎，毕竟想一想03年的非典疫情，实在是太可怕了。,无,无,2020-01-04 23:51,iPhone 11,31,22,33
InYWjtxJE,川川王小川,5114183167,昨晚口腔疼痛连带右耳右眼都痛。凌晨一点半醒了一直哭，先去的酒店对面医院，不接收小朋友。帮忙喊了的士出发去KKhospital。到医院拿号排队测体温量血压，值得一提的是护士在知道我们是从上海来的之后还另外确认了一下是否去过武汉，后来我才想明白为什么这么问—不明原因肺炎。初步检查完交了120新币费用开始排队等医生喊号，来的时候体温是37.5，护士说是normal所以没有安排加急，足足等了三个小时，体温上升到38.5，重新排了护士号加急就医。又等了半个小时终于等到了，医生特别详细的询问了病史，包括牙齿状况。检查了耳朵嘴巴，按压了腹部，说从外面看不出异常，可能还会发烧会有体温起伏，给开了抗生素和止痛退烧药。去拿药又排了半个多小时队。药剂师讲的特别详细核对了体重年龄挨个讲该怎么吃药讲了二十分钟，给了满满一袋子药，光抗生素就十多瓶,无,无,2020-01-04 23:45,iPhone客户端,2,0,1
InYVN0Pln,本人狐狸,6399669257,第一次来武汉失望，失望，顶着疑似肺炎的风险飞来燥，居然要求坐，我去，摇滚耶，站起来跳居然被叫做坐下，乖乖的怎么摇滚，还有武汉人民真的都是乖宝贝。不开森。还好有旅行团，还好有痛仰。。  2020年，内心自由，摇滚不死。 ,无,无,2020-01-04 23:44,HUAWEI Mate 30 Pro,0,0,3
InYTto0vl,黑豆豆soso,5342117568, 武汉人表示还是很慌的,无,无,2020-01-04 23:38,荣耀7X 全面屏手机,0,0,0
InYRa37ry,Dear-张艺博,1318193283,2020第一个愿望:希望武汉不明肺炎能被控制 过年能回家！希望体能考核 3公里过！其他满分！希望明天开始恢复体能训练跑步！明天凌晨最后一个夜哨不累！加油！,无,无,2020-01-04 23:32,Android,2,0,3
InYQdh2qN,应是海棠依旧,1064205994,有些香港人真是选择性眼瞎，的事情一直有通报信息，她还要说香港报了，这边都没报～给她怼回去,无,无,2020-01-04 23:30,iPhone客户端,4,0,1
InYPHjWFl,用户5843301183,5843301183,散布谣言8人被依法处理  ,无,无,2020-01-04 23:29,iPhone客户端,0,0,0
InYMBeVcH,黑夜之睛滚雪球,1977046885,【香港怀疑病例增至7例 港府启动“严重”应变级别】香港卫生署卫生防护中心发言人表示，武汉出现的病毒性肺炎病例群组个案可被视为“对公共卫生有重要性的新型传染病”。政府会因应最新的科研实证和发展，不时评估风险，启动或解除应变级别，并采取相应的防控措施。 ,无,无,2020-01-04 23:21,iPhone X,24,4,9
