微博id,发布者,发布者id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IpvhrmpvQ,今生何求唯5903974028,5903974028,专家解读|武汉不明原因最新进展 专家解读|武汉不明原因最新进展 ,无,无,2020-01-14 23:55,学习强国客户端,0,0,0
Ipvh0aFnZ,儿科医生蓬蕊,2769301163,【1、是否需要打点滴？2、会不会有？】宝宝11个月，21斤。1月3号左右有听到偶尔咳嗽无流鼻涕无痰声，到6号开始有痰声但无流鼻涕，看了医生...作为医生我的建议是：1、是否需要打点滴？2、会不会有？ ,无,无,2020-01-14 23:54,爱问医生移动版,11,0,13
IpvfzuT5t,Dr_Who_Gu,1914338290,武汉病毒基因谱公开，近80%似SARS😱 ,无,无,2020-01-14 23:51,iPhone客户端,0,0,0
Ipvf4cEEZ,嘉兴咖啡爸爸,1999959193, ：2020年的农保投保，村里工作人员忘记给我申报了，我自己已经提前把钱打到市民卡上了，村里的工作人员没有给我上报，现在一月份得了住院发现自己不能农保报销，这怎么办？他们工作上的失误造成的损失谁来承担？我应该找哪个单位能负责此事？坐标：海盐 ,无,无,2020-01-14 23:50,微博 weibo.com,1,6,6
IpveN3ogi,加油吧老桥,7121691544, 并没有传的那么凶，大家都很寻常哈哈哈，回家没地铁了，在网吧将就一晚上,无,#武汉发现不明原因肺炎#,2020-01-14 23:49,iPhone客户端,0,0,0
IpvdS2q1I,儿科医生蓬蕊,2769301163,【需要去医院拍片吗？会不会？】蓬医生您好，又要麻烦你了。9号晚上开始发烧，最高39。10号持续发烧，有一点点清水鼻涕，期间38.5...作为医生我的建议是：需要去医院拍片吗？会不会？ ,无,无,2020-01-14 23:47,爱问医生移动版,11,0,20
IpvdC779W,打伞的鱼02361,6800945423,专家解读|武汉不明原因最新进展 专家解读|武汉不明原因最新进展 ,无,无,2020-01-14 23:46,学习强国客户端,0,0,0
IpvcIct7P,lln泪,3290000561,老二住院了，只能半夜发一些优惠券。这么努力的我，一定可以成功。。。加油 阳泉·阳泉市第三人民医院 ,无,无,2020-01-14 23:44,小米8周年旗舰手机,0,0,0
IpvcB6Zk8,日月东爱运动,6155257161,专家解读|武汉不明原因最新进展 专家解读|武汉不明原因最新进展 ,无,无,2020-01-14 23:43,学习强国客户端,0,0,0
Ipvcivkk9,CEO来信君,5410718337,1月14日，联想创始人柳传志在年会上谈起自己的抗癌经历：被联想控股的同事告知身患肺癌，必须要动手术，自己一边的肺切了一块，当时觉得肺癌算什么，切一块以后就长好了，谁知道它长得不好。我自认为很听医生的话，饮食等方面也很注意，但前不久还是因为感冒被感染一次，就像得了一样，像从水里捞出来的鱼一样，呼吸都困难。现在医生建议我要把肺癌当成祖宗一样伺候。 ,无,无,2020-01-14 23:43,绿洲APP,2,0,0
