微博id,发布者,发布者id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Ipcq7xPTX,小肥羊是不是我,1914628605,哪怕我转肺结核转肺癌了（三者无本质关系，打个比方）我都要在2020见到小狮子，1108像个迈不过去的坎一样成为我的心结。我一定一定要见到师铭泽！ ,无,无,2020-01-12 23:55,华为Mate30保时捷设计,1,0,0
IpcoT1aOX,积极的生活201506,5631507896,"更哦，但是要在23点左右了，宝宝们先睡，明天再看哦！   第75章 9.10（二更） 　　第二日, 秦莞和秦茉在一方居用过  ",无,无,2020-01-12 23:52,微博 weibo.com,0,0,0
Ipco4vmcB,4B青年n,6558648364, 　　“mr.麦。”李蔷薇保养极好地脸上浮现出“我早就知道你会这么问”的笑容“冯基卡洛先生虽然一直是艺术副总监，但是水平不容忽视，他缺少的只是一个机会。  ,无,无,2020-01-12 23:50,微博 weibo.com,0,0,0
IpcnTfzYT,兰州公安交警,1954265617,【,无,无,2020-01-12 23:49,科学科普 · 视频社区,3,0,0
IpcnG06Qy,霸王花的小催,2211951335,“就是因为小，吃起来才鲜嫩。” 　　“总之就是不许吃，也不许伤到它！不然我告诉母亲！”梁愉难得硬气起  ,无,无,2020-01-12 23:49,微博 weibo.com,0,0,0
IpcnowR5I,幽谷花丛,1266112950,我在看：【武汉出现不明原因病人_新浪专题】   ,无,无,2020-01-12 23:48,新浪新闻客户端,0,0,0
IpcmCn8Yi,球老仙儿,2637440251,武汉卫健委：仍有717名新型冠状病毒密切接触者接受医学观察  2020年1月11日0—24时，我市无新增新型冠状病毒感染的肺炎病例，治愈出院4例，无新增死亡病例报告。  截止目前，我市累计报告新型冠状病毒感染的病例41例，已治愈出院6例，在治重症7例，死亡1例，其余患者病情稳定，患者均在武汉市定点医疗机构接受隔离治疗。累计追踪密切接触者763人，已解除医学观察46人，尚在接受医学观察717人，密切接触者中，没有发现相关病例,无,无,2020-01-12 23:46,微博 weibo.com,2,0,0
Ipcmk3GPf,意路有我,3021737133,连续的身体不适，小姑娘流感的时候我支原体，她复查好了以后我流感，同时治疗支原体。2号到今天，都没有彻底恢复之前的状态。加上小姑娘的假期社会实践，芭蕾考试，钢琴排课，行李今天出门前才收拾好。最近的状态真是一团糟，又忙又乱，有些人际关系没有顾上，渐渐的也就不想顾了，毕竟，也没有几个人顾得上我。生病这段时间真的自顾不暇，也是真的灰心。没有无缘无故的付出，也没有无缘无故的获得。生活不易，尽量让自己活得轻松一点吧。,无,无,2020-01-12 23:45,无,0,0,2
IpckQ9hWy,微微万象民生直通车A,1791010393,【武汉卫健委关于】2020年1月11日0—24时，我市无新增新型冠状病毒感染的病例，治愈出院4例，无新增死亡病例报告。截止目前，我市累计报告新型冠状病毒感染的病例41例，已治愈出院6例，在治重症7例，死亡1例，其余患者病情稳定，患者均在武汉市定点医疗机构接受隔离治疗。累计追踪密切接触者763人，已解除医学观察46人，尚在接受医学观察717人，密切接触者中，没有发现相关病例。,无,无,2020-01-12 23:42,iPhone 6 Plus,0,0,0
Ipcjf9Geh,绍然Will_超个人心理学,2553127460, 朋友在印度感染了去另一个城市住院。道场几个叔叔阿姨排班看娃一下集合了四个。有伴儿的孩子们精力无穷的奔跑下海，特别开心。童年需要一些这样的记忆，充满趣味。 ,无,无,2020-01-12 23:38,小米8 屏幕指纹版,1,0,2
