微博id,发布者,发布者id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
InwKwjtIk,Dear_Christin,1595690352,2020年第一天，宝宝晚上发烧了。上个月的经历还历历在目，不觉又开始揪心。目前低烧安稳睡觉中，告诉自己勿要着急。为了缓解情绪刚才又翻了一遍裴医生的文章，作为母亲真不知需要经历多少煎熬才可以挺到孩子完善免疫力的那一天。新年最大的愿望唯有一家人平安健康尔。 ,无,无,2020-01-01 23:59,三星Galaxy S10+,1,0,2
InwK6CaNX,JENNYJENNY-MONITONG,1941026282,2020年的第一天住进医院肺炎无声无息就来了好在孩子大了非常配合心情不错胃口更不错三天后又是一条龙 ,无,无,2020-01-01 23:58,iPhone 11 Pro,7,0,16
InwK3EvEf,Levinge,5557634524,什么时候专项组能出消息啊，，，武汉百万大学生呢，我好怕到时候回家的时候在火车站被传染啊,无,无,2020-01-01 23:58,HUAWEI P30,0,0,0
InwJS99hF,营养指北针,6403090003,【宝宝要不要打吊针】不少家长认为孩子得了，为了使其尽快康复，就得采取“吊针”(静脉注射消炎药)的治疗方式。但并非所有的都需要吊针。分为细菌感染和病毒感染，对于由病毒感染引起的轻度，可以不吊针。 ,无,无,2020-01-01 23:58,皮皮时光机,0,0,0
InwIVCp4J,-GUYVER-,1652876004,8名散布武汉谣言者被依法查处 ,无,无,2020-01-01 23:55,微博 weibo.com,2,0,0
InwIuspjx,十有八九Echo,5717172836,跨年因为害怕武汉的都没敢出校门2020的第一天又肚子疼可能是对我去年做太多错事的惩罚哭泣😣😣😣 武汉·华中科技大学东校区 ,无,无,2020-01-01 23:54,荣耀20,1,0,1
InwIl18FI,Cuui_an,3191786935,靠……没点开之前我也为是昨天那个出现肺炎的什么海鲜市场出现了四角山羊,无,无,2020-01-01 23:54,无,6,0,0
InwIdDqe2,湖师数统学院实践部,6760990011,"1月1日,针对疑似SARS的说法，武汉市中心医院（原二院）后湖院区医务处的工作人员称，网传出现SARS一事系谣言，目前并无疑似或确诊的患者。据武汉卫健委最新通报，近期部分医疗机构发现接诊的多例病例与华南海鲜城有关联，目前已发现27例病例，其中7例病情严重，初步检测分析认为上述病例系病毒性。到目前为止调查未发现明显人传人现象，未发现医务人员感染。目前对病原的检测及感染原因的调查正在进行中。 ",无,http://t.cn/R2WxQ86,2020-01-01 23:54,nova4e 3200W立体美颜,4,0,1
InwHxlEoe,ljy东东,3393209904,我家小狗之前就有咳痰症状 喘气声音粗 没有别的不好症状 吃了抗生素治疗2天 咳嗽有好转 今天下午开始拉肚子 检查细小阳性冠状阳性 晚上开始输液和皮下注射 拍片并有支气管 今天治疗第一天 小狗2个半月 体重3.5kg 小母 求求各位帮帮忙 有没有好的建议和治疗方案或者有经验的宠物医生帮忙支支招,无,无,2020-01-01 23:52,HUAWEI P30,1,0,6
InwHte59U,纸巾,1652888655,难怪我小时候那么难养大，还。还是有原因的啊。好吧。看来我还是有空去检查下？不过，检查也没用啊。是吧。反正没有什么可以干预的啊。是吧。 ,无,无,2020-01-01 23:52,iPhone客户端,0,0,0
InwFEEKSS,正路之星,6315177942,武汉发现不明原因，华南海鲜批发市场休市整治 1月1日，武汉市江汉区市场监督管理局、武汉市江汉区卫生健康局发出“关于休市整治的公告”。公告内容为“根据《突发公共卫生事件应急条例》等法规条例的规定及武汉市卫生健康委关于当前我市疫情的情况通报，经研究，决定对华南海鲜批发市场实行休市，进行环境卫生整治。请广大商户积极配合，开市时间另行通知。”  ,无,无,2020-01-01 23:47,微博 weibo.com,2,3,1
InwFAbABn,邓连杰营养师,3412509980, 【得了肺炎怎么办？】1. 不要滥用抗生素抗生素是用来对抗细菌的，但是很多呼吸道感染的人，早期多为病毒感染，抗生素对病毒没有任何作用，反而滥用抗生素，可能会加重耐药。需不需要使用抗生素，应该去咨询医生的建议，在医生的指导下使用。 2.不要急于使用止咳药咳嗽是呼吸道的一种保护性反射，有助于将气道的分泌物排出体外。使用止咳药完全控制咳嗽反而不利于病原体的排出，应当多饮水稀释痰液、翻身拍背深呼吸等来促进痰液排出体外。 3. 多休息治疗的第一点就是休息，如果休息不好，的好转无从谈起，迁延不愈也是难以避免。4.切忌运动健康一般好转后2-4周，再逐渐开始锻炼身体。 5. 饮食建议饮食清淡，忌腥荤，忌辛辣刺激以及海鲜。以蔬菜、瘦肉、河鱼为主。,无,无,2020-01-01 23:47,iPhone客户端,21,5,2
InwER14uZ,火锅烫寿司,6990341792,伪年终总结😶19年的跨年最特别 因为闹肺炎传染没出去 大家在寝室吃火锅🍲 边吃还边看跨年 大家耐心都好好噢 都不会烦我一直念王嘉尔今天有收到秦辅导员的红包🧧 她说：2020一起努力💪 我最爱温柔至极的她了最后一张图是觉得要坚持去做到的over.2020年一定会是很温柔 很热爱的一年💙（我一定要做最好的位置 看王嘉尔的演唱会！！！）,无,无,2020-01-01 23:45,iPhone客户端,1,0,1
InwEKw5mK,明天的二百斤,6200082911,妈呀。。怪吓人的。。。还好马上就能放假回家了,无,无,2020-01-01 23:45,HUAWEI P20,0,0,0
InwEAr49z,忧郁的鱼丸,1746776435,我免费围观了  的回答，问题价值 388.00 元，快来一起围观~ <br />微博问答:如何看待武汉发现不明原因？具体情况如何？ ,无,无,2020-01-01 23:45,微博 weibo.com,0,0,0
InwDrdlm3,zzzzi7,3665903747,小不点。  1⃣️周岁快乐。 一年前的今天在医院 一年后因为住院了 只希望你能 健健康康平平安安的长大  ,无,无,2020-01-01 23:42,iPhone客户端,0,0,1
InwDpuKuA,烤鱼烤肉恰恰,5631310984,武汉去哪了呢最近感冒有点慌啊 ,无,无,2020-01-01 23:42,华为手机 畅享玩不停,0,0,0
InwCDhT8G,圆梦崽崽_Pooh,5563544359,看了那个不明，现在有点恐慌,无,无,2020-01-01 23:40,Android,0,0,0
InwCrsaPF,多多的super嫲咪,2455016497,不记得去年的元旦怎么过的了今年的元旦，因为武汉最近形势严峻甲流➕非典型不敢去商场，不敢去公众场合，就带吖出来瞎逛其实很喜欢去这种小街，可能很多人认为脏乱差，不过这才是真正的人间烟火气吧儿子走走看看很高兴，看到吃的一个劲的要买,无,无,2020-01-01 23:39,iPhone客户端,3,0,2
InwC7m5mv,飞鱼学游泳,1407341034,无缘无故高烧两天，不知道和那个武汉有没有关系，想着2020总得有点仪式感，硬撑着看了场叶问4，大失所望，一会李小龙，一会叶问，一会中华总会会长，不知道想突出谁，明明会长和叶问打了平手，会长被陆战队长打得惨败，陆战队长又被叶问打得惨败，除了叶问所有中国功夫师傅都被白人打残，中国功夫还有个屁用，还是东亚病夫的loser思维，最后来个救世主，估计是个香港导演，都啥年代了还这么拍。打戏也没啥出彩的地方。看得想上厕所。,无,无,2020-01-01 23:38,华为手机 畅享玩不停,0,0,3
InwBIyOLs,四个夫人,2872717365,抓的还不够呀！微博现在的水特别深，到处是陷阱，到处是漩涡！加油！把该进去的全部抓进去！ 太原 ,无,#散布武汉肺炎谣言8人被查处#,2020-01-01 23:38,@四个夫人 Android,6,0,7
InwBhpZaf,是云云儿吖,2789282811, 庆幸发生的当天已经回来了，想想还是后怕汉口火车站离事发区还是非常近的。突发事件导致公司已经订好去武汉的年会高铁票临时通知改坐飞机去西安开年会，想想也是这种风险没有谁能承担，愿平安吧🙏 十堰·十堰希尔顿逸林酒店 ,无,#武汉发现不明原因肺炎#,2020-01-01 23:36,小米8青春版 潮流旗舰,5,0,10
InwBbcCSF,阿满满仔,1773744325,前年元旦，今年元旦感冒，可能勤奋工作遏制感冒,无,无,2020-01-01 23:36,iPhone客户端,0,0,0
InwB3tA9w,豚晓成长记,1794265037,最怕孩子生病，基本都是一个人照顾的。带去看医生。过敏性咳嗽，晚上还会鼻塞，最近到处流感凶猛，有发了武汉新闻，人心惶惶。所以说，健康是福。都得好好观察！ 广州 豚晓成长记的微博视频 ,无,无,2020-01-01 23:36,全屏双摄 OPPO A5,1,0,0
InwAWqahR,各界导报社官微,3804173419,【：发病十多天曾以为是感冒】1月1日， 连线到目前正在医院中隔离治疗的黄勇（化名），他表示目前数十名患者都在一起进行治疗。黄勇称自己发病了十多天，一开始以为是感冒。另一患者家属梁丽（化名）告诉 ，患者被隔离治疗后还没被允许探望。,无,无,2020-01-01 23:36,vivo 全新水滴屏手机,2,0,1
InwAw8T4S,佛国净土办事处201612,6077948281,如何看待武汉发现不明原因？具体情况如何？。。。2003年在广东发生的非典型性SARS，非常历害、当时的很多医生、护士、也因抗非典型性肺病染病、有些医生、护士因此往生、后来市府为记念他们的为救人伟大行为、在彫塑公园里塑造了石像记念他们，。这次武汉的不明据报道也是很历害？是不是同一类型变异病毒感染呢？应该尽快检验、检疫、分析出来？是何种类型病毒？尽快聚集国内外知名专家学者参与，。像SARS当时很多流动人口回家乡前都必须隔离以防扩大感染家乡人民？所以尽快查明病毒🦠类型、该隔离也必须執行？不用隔离也必须教会人民怎么防范措施？。。阿彌陀佛。。名号：妙有如意 ,无,无,2020-01-01 23:35,iPhone 8,5,0,2
InwzIrHpo,南笙北凉_hupilan,6615081609,的喊了一声，站了起来，准备去迎接刑男。 　　听到这一声亲爱的，刑男差点的没有一个趔趄，直接的一头撞墙。 　　她这是想要抢我的钱！在朱三妹的刑男，刑男这  ,无,无,2020-01-01 23:33,微博 weibo.com,0,0,0
Inwyx9FgU,潮妈育儿母婴,5703589433,【呼吸急促】孩子生病之后呼吸明显会变得急促，尤其是发热病症，孩子脸颊通红，呼吸急促，大口大口呼吸，这说明孩子的鼻子塞住了。此时父母需要及时带孩子就医，不要在家拖，往往有些父母就是因为没有及时送医，最好导致普通的感冒变成了，加大治愈难度，让孩子受更多的罪。 ,无,无,2020-01-01 23:30,皮皮时光机,0,0,0
InwyehANn,雪茄金融狗,1758613545,发布了头条文章：《医药股大涨的背后：“概念股”投资的风险点在哪？》             ,无,无,2020-01-01 23:29,微博 weibo.com,4,2,4
InwxPpJVN,lyyyyydan,5634709252,元旦快乐🎉🎆🍾️🎊🎈虽然由于武汉肺炎，没出去浪成，同学为了我的安全，为了保命取消了约饭,无,无,2020-01-01 23:28,iPhone客户端,2,0,0
InwxMbpbn,onion-cong,2619535895,2020年第一天去逛街，虽然有不明病毒的，但是依然阻止不了大家逛街的心思，商场里的人真是多，粗略算一算，东西比平时真是没便宜多少，真是没必要去人挤人。 ,无,无,2020-01-01 23:28,iPhone客户端,0,0,1
InwxowEK2,口袋拜金C,5016591824,最近一周肺炎腮腺炎发烧过敏好在，我挺过来了 ,无,无,2020-01-01 23:27,HUAWEI P30 Pro,0,0,0
InwxmaD6P,小郗·BEIJING,6627335526,2020年度大事记……♚一月    大三上期末考试    十二月季考出成绩    春节    新型冠状病毒肺炎爆发    科比布莱恩及其女儿飞机失事遇难♚二月    英语长难句看完    基础30讲跟上进度    已学的数学1800题 熟练的会做    初会两本前两三章完成    线代第一部分搞定    英语阅读两天一篇♚三月♚四月♚五月    初会考试♚六月♚七月♚八月♚九月♚十月♚十一月♚十二月    研究生入学考试,无,无,2020-01-01 23:27,R1SE&杨洋家的小可爱,7,0,21
InwximokT,还想上天,6619544815,我不信谣传谣，但是官方的消息能不能公开透明一点啊，现在我们什么都不知道心里也很慌的啊。所以我明天戴不戴口罩？十一号那天能不能从汉口站坐高铁回家？ ,无,无,2020-01-01 23:27,HUAWEI nova 3,30,2,11
InwxdA9tb,NagisaNa,3831540847,现在是什么情况啊，检测结果是什么样呢,无,无,2020-01-01 23:26,无,37,1,20
Inwx1d9a0,BJ田夫野老,2287720091, ：被感染人数没有因“谣言”被警方处理的人数多。 ,无,无,2020-01-01 23:26,iPhone客户端,1,1,4
Inwws3Vd4,小鸟吃胖胖胖胖了,1925933821,主要央视发的公告和没发一样,无,无,2020-01-01 23:25,iPhone,53,1,0
Inwwa25dg,十元和十月,3291973244,我又要来说新年快乐啦～本来说去光谷跨年奈何出现我们怂 就呆在学校了哈哈哈哈哈但是在学校跨年也是充满了惊喜开着跨年直播开水果party然后乘着月色 跑过隧道 穿越人群来到依旧是人山人海的操场看升旗和朋友边跑边喊边笑在行人怪异的眼光中落荒而逃跑啊跑挤啊挤嘈杂的人群嘈杂地听完了校长新年贺词最后人声稀稀落落地停下注视着国旗 字字清晰地唱着国歌好久没有这么这么这么认认真真地参加过升旗仪式了小时候懵懵懂懂现在懂了却找不到机会了这个历尽沧桑的国家啊未来都会是你的其实还拍了好多去看升旗的视频但我觉得以我的速度…我可能又要几年才能搞好了哈哈哈哈 ,无,无,2020-01-01 23:24,HUAWEI Mate 30,1,0,0
Inww4FRwz,武汉新闻快递员,5894812053, 【8名散布谣言者被依法查处】近期，我市部分医疗机构发现接诊了多例病例，市卫健委就此发布了情况通报。但一些网民在不经核实的情况下，在网络上发布、转发不实信息，造成不良社会影响。公安机关经调查核实，已传唤8名违法人员，并依法进行了处理。警方提示，网络不是法外之地，在网上发布信息、言论应遵守法律法规，对于编造、传播、散布谣言，扰乱社会秩序的违法行为，警方将依法查处，绝不姑息。希望广大网民遵守相关法律法规，不造谣、不信谣、不传谣，共建和谐清朗的网络空间。,无,无,2020-01-01 23:24,武汉超话,3,0,0
InwvzmxQ2,零叁零玖玖,2662406671,我免费围观了  的回答，问题价值 388.00 元，快来一起围观~ <br />微博问答:如何看待武汉发现不明原因？具体情况如何？ ,无,无,2020-01-01 23:22,微博 weibo.com,0,0,0
Inwv0tRwe,oooco,1912726465,今天带着bb出去玩了一下，还冒着什么的风险，商场里面还有不少戴着口罩的人和小孩，关键那些口罩没有遮住口鼻、而且不是N95，一边戴着口罩一边还到处摸，有啥子用呢。 ,无,无,2020-01-01 23:21,荣耀V9 我想要的快,0,0,0
InwuJCYmy,栗子黛,6272102803,这么吓人的吗？在呼市，这里的人还一点儿都不知道。但是今年得流感住院的人特别多。昨天刚看到别人发朋友圈，就赶紧告诉周围朋友注意防护。这件事还得在微博看看实时消息才能知道最新进展。不传谣不信谣，但是心里还是很慌，明天去买些抗病毒颗粒，口罩感冒药啥的……希望大家都能平平安安，祈祷🙏🏻……,无,无,2020-01-01 23:20,iPhone客户端,0,0,0
InwtbAQ0J,等待奇迹吖,6340019175,我在看：【武汉事件已有8人因散布谣言被警方查处】  武汉事件已有8人因散布谣言被警方查处 ,无,无,2020-01-01 23:16,新浪新闻客户端,0,0,0
Inwt7buoY,山楂笑了酸枣红了,1687907111,散布武汉不明原因不实消息8人被警方依法查处 ,无,无,2020-01-01 23:16,无,6,0,21
InwsRfi1T,污力謝寶寶么_,2787271745,睡眠质量超好但却扭曲睡姿的狗子,无,无,2020-01-01 23:16,iPhone客户端,1,0,0
Inws2rQrd,永靖检察,5267052195,【8人因网上散布“武汉病毒性”不实信息被依法处理】武汉市公安局1日通报称，日前一些关于“武汉病毒性”的不实信息在网络流传，公安部门对此进行了调查。目前，8人因散布不实信息，被警方依法处理。警方呼吁网民不造谣、不信谣、不传谣，共建和谐清朗的网络空间。   ,无,无,2020-01-01 23:14,OPPO R9,3,0,0
Inws2oH9I,贾岩鹤-JyH,5384892986,咳了一个月的我瑟瑟发抖 ,无,无,2020-01-01 23:14,荣耀Magic2 魔法手机,2,0,18
InwrbwWmO,请你吃红烧肉啊,1827834591,一月运动打卡,无,无,2020-01-01 23:12,小米Note 3 拍人更美,5,0,28
InwqKBNqa,粉象生活_分享生活,2784842795,热点板块方面,无,无,2020-01-01 23:10,微博 weibo.com,4,0,0
Inwq2jqGy,燕子说说说说,2544341574,2020.1.1是个幸福的日子昨晚柳大尉对不能陪我跨年表达了深深的歉意，今天妈妈和奶奶就带着我喜欢的吃的来看我…柳儿妈近期一直反复，但为了给我弄好吃的，都是围着围巾捂住口鼻下厨…感恩一直被宠爱着❤️ 如皋市 ,无,无,2020-01-01 23:09,iPhone客户端,2,0,0
InwpVwknS,澪雨其濛68,1041664965,真的好好奇，研究到了哪一步，不明情况的在武汉的吃瓜群众,无,无,2020-01-01 23:08,OPPO超视野全面屏R15,0,0,0
InwpfgDuX,水煮羽毛球,1736731020,《湖北武汉：发现不明原因 华南海鲜批发市场休市整治》湖北武汉：发现不明原因 华南海鲜批发市场休市整治 ,无,无,2020-01-01 23:07,百度极速版,0,0,0
InwpaesI9,圣殿山的哭墙,2710480167,武汉市爆发27例不明原因，其中7例病情严重。由于两岸往来频繁，台湾疾病管制署立即宣布，即日起针对武汉直航台湾三座机场：桃园、松山、高雄的入境班机，每周共十二班次，进行登机检疫，希望将疫情阻绝于境外。 临沂 ,无,无,2020-01-01 23:07,OPPO R11 Plus,1,0,0
Inwp4jJhB,GrassTracker7,1260095092,继续说癌细胞与炎症的关系：肺癌抗癌的实战过程中，大约90% 以上的战友折戟于炎症和血栓之上，事实上，炎症和血栓带来的最终结果表现在呼吸衰竭和心脏衰竭两个方面，这类夺命凶险万分的炎症常见如下：1、间质性：见附图 无锡 ,无,无,2020-01-01 23:06,小米9,0,1,0
InwoE0TMa,柯香2013,3782009905,武汉现27例病例 涉事海鲜城将开展消毒工作 武汉现27例病例 涉事海鲜城将开展消毒工作 ,无,无,2020-01-01 23:05,新浪新闻中心,0,0,0
Inwova70a,QueenTop2317,6428859426,對不起，沒有照顧好你，腐皮和讓你難過。我又沒有照顧好你，2020年的第一天，我失去了你，現在想想，下午我差點莫名其妙的摔跤，後來還好沒事，是不是你保佑了我，外面好冷，這麼冷的天，我把你埋在樓下，心裡唸著你，你不是一個小動物，你是我的小寶貝，你不會說話，但是我知道你愛著我，你會聽我的話，讓我摸你的頭，可是以後我再也不能和你說:來，讓媽媽摸摸你的頭！你的來的太突然，又同時腐皮，我束手無策，但是又不捨得把你放生，可是你最終還是離開我，我沒能救活你，我只想說:謝謝你曾經出現在我的生命中，給我帶來過歡樂，我把你埋在家樓下的花壇裡，每天我都會和你說說話！希望你在天堂可以聽到我對你的想念！你在天堂要看著我保佑我哦，你最有靈性了！我愛你，永遠記得你！我的🐢寶寶！ ,无,无,2020-01-01 23:05,绿洲APP,0,0,0
Inwo4goDA,巴卫巴卫巴卫,2471380290,记录一下小布布第一次生病，从鼻塞到打喷嚏流鼻涕，再到咳嗽，发展为支气管，做雾化，吃头孢，布布才15天呀，心疼，恨不能替她生病，替她难受。可是，没有小孩不生病，这是必经的过程，备受煎熬中成长，积累经验，以后才能更好地照顾布布。 ,无,无,2020-01-01 23:04,iPhone客户端,1,0,1
InwnZvQrs,天津股灾,7128296200,我免费围观了  的回答，问题价值 69.00 元，快来一起免费围观~ <br />微博问答:虎老师您好，宝宝一岁一个月，体重25斤，一个月前感冒咳喘，发展成住院八天，出院后雾化巩固一个礼拜。前天他感又感冒了，流鼻涕，没有喂药，洗澡时用热水汉蒸了好一会 ,无,无,2020-01-01 23:04,微博 weibo.com,0,0,0
Inwnn7Mnp,ss摄影随记,2203547562,希望不要是大形传染病，并不想在有生之年遇到这种可怕的事,无,无,2020-01-01 23:02,荣耀V20 4800万3D相机,0,0,0
InwnloVnH,氦氖氩氪氙氡咚,5546205464,新年小聚🎆冒着感染不明原因肺炎的生命危险出门⚠️没得公交车在吹了半小时冷风之后毅然决定打车了，结果公交车跟滴滴一起来了🚕敲诈了刘泽瑾5串羊肉串🍢三个人吃了5人份的火锅，刘泽瑾难得一见的剩了饭，铁树开花，铁树开花🍲刘泽瑾拍照真的很烂，还要用原相机拍📷刘泽瑾拍照拍了太久害得刘欣仪追着公交跑让我笑出内伤🆘吃完火锅就跑步让我的胃🌊恶心到现在（karma is  not a liar ）喝了瓶酸奶再喝了瓶牛奶感觉好一点了，八成不是好油，可以倒闭了,无,无,2020-01-01 23:02,iPhone,4,0,0
InwmWx5yH,妈咪汇网推荐,2338803347,  求交流：娃发烧四天了，白天的时候低烧37-38左右，一到晚上睡着就烧起来，最高40过，身上比头上烫，过两个小时左右自己降下去。昨天去儿科医院检查，不是流感，不是，验血报告显示病毒感染，也不知道究竟哪里问题，医生就开了治咳嗽的药先回家观察。想问问有没有类似情况，很担心有什么检查漏掉，耽误病情。,无,无,2020-01-01 23:01,微博 weibo.com,84,9,182
InwmuvfJD,贾宝军188,7211102158,交易分析——2019月31日        今日大盘低开震荡向上，盘中因证券股未能延续昨日强势。午间上证微跌至3030，午后，因武汉海鲜市场不明肺炎引发医药股强力反弹，突破前期高点收3050。这将意味着A股突破前期箱体，打开了新空间。        就最近证券法、放开外资持股比例、新外资投资法、以及今日央行新年红包1月6日降准0.5个百分点释放8000亿元流动资金，1月份地方政府也开始发专项债预计1844亿元，同时，央行也很有可能使用MLF平衡利率市场，提振实体经济。结合领导层住房不炒原则，这将很有可能催生A股走牛。不过，以上消息均以被市场预测到位，不具备突然性，指数方面上证暂时不会超过前期高点3270。就算触及也是震荡上行，具体还得看量能能否持续方大。所以我认为上证明天高开高走至3070附近。然后继续震荡在3000至3100之间。大概率板块方面关注券商、软件、化工化纤、汽车制造。仓位方面逢高减仓，逢低加仓。以免踏空或坐电梯。推荐冲高至3100减半，3200空仓，3000满仓。,无,无,2020-01-01 23:00,HUAWEI nova 2s,0,0,0
InwmtiEgx,小小小吨,3300732252,我围观了 的回答，围观仅1元，快来一起围观~ <br />微博问答:如何看待武汉发现不明原因？具体情况如何？ ,无,无,2020-01-01 23:00,微博问答,4,0,0
InwmqjaPz,凤凰周刊,1267454277,【：发病十多天曾以为是感冒】1月1日，（化名），他表示目前数十名患者都在一起进行治疗。黄勇称自己发病了十多天，一开始以为是感冒。另一患者家属梁丽（化名）告诉 ，患者被隔离治疗后还没被允许探望。 via.紧急呼叫,无,无,2020-01-01 23:00,无,99,21,19
InwmaEH3G,咩咩杨设计,6438536972,新年第一天的好运去了医院，大夫听了半天，说怕是肺炎让我抽血拍CT再确定还好最后不是活着真好 世界晴朗,无,无,2020-01-01 22:59,iPhone 6s,0,0,0
