微博id,发布者,发布者id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IwEoqz2UM,与李一桐大眼瞪小眼,6789125520, 赠人玫瑰，手有余香。我在“守护者后盾行动二期”项目捐款成功！ ,无,无,2020-03-01 23:59,微公益,0,0,0
IwEoqgXWW,禤樱箐,5503029660,北京新冠疫情防控工作领导小组第三十四次会议暨首都严格进京管理联防联控协调机制第五次会议召开  ,无,无,2020-03-01 23:59,学习强国客户端,0,0,0
IwEoobVu3,竹荪小小,5194229457,【防控动态】2月29日全天，上海无新增新型冠状病毒确诊病例  ,无,无,2020-03-01 23:59,学习强国客户端,0,0,0
IwEonALU9,AM____,1873963422, 保住自己瑟瑟发抖 这都最后几个月了 就不能让我安生的回到家吗,无,无,2020-03-01 23:59,明的iPhone X,6,0,0
IwEomrgnO,后羿梵语,5970019895, 武汉·江滩 ,无,#新冠肺炎疫情源发地在哪#,2020-03-01 23:59,HUAWEI Mate 20,0,0,0
IwEom96Mm,Snscar许微,2381636693,卡塔尔卫生部：卡塔尔新增两例新冠感染病例。 ,无,无,2020-03-01 23:59,iPad客户端,0,0,0
IwEolxScN,用户7318583340,7318583340,关于新冠康复者捐献恢复期血浆的倡议书  ,无,无,2020-03-01 23:59,学习强国客户端,0,0,0
IwEolxQym,yoyo-ren,1837303115,yoyo-ren 打卡第769天，2020年3月1日，市最后一名确诊新冠患者治愈出院，实现确诊病例和疑似病例“双清零”，愿越来越明媚，越来越健康。运动只为更好的自己！快来加入打卡社区吧！ ,无,无,2020-03-01 23:59,微博运动,0,0,0
IwEolxQ87,燚淼JJ,6331930102, 予人为乐，与己而乐。我在“守护者后盾行动二期”项目捐款成功！ ,无,无,2020-03-01 23:59,微公益,0,0,0
IwEolxPgm,東CITY,6661837251,如果你感到窒息 请放心你不是得了冠状你只是曼联球迷！！！ ,无,无,2020-03-01 23:59,曼联超话,3,1,0
IwEokCkX9,皮肤健康管理者,2787009167,除新冠外，3月还需重点预防这些疾病除新冠外，3月还需重点预防这些疾病 ,无,无,2020-03-01 23:59,iPhone客户端,0,0,0
IwEok43f5,卖家具的菠萝哥,6516640184,关于新冠康复者捐献恢复期血浆的倡议书 关于新冠康复者捐献恢复期血浆的倡议书 ,无,无,2020-03-01 23:59,iPhone客户端,0,0,0
IwEojaFEu,圣女幸福的日子2000,6443253720,关于新冠康复者捐献恢复期血浆的倡议书 点击可查看更多  ,无,无,2020-03-01 23:59,学习强国客户端,0,0,0
IwEoiksTR,人间一颗小糖果,1832515053,我在“守护者后盾行动二期”项目捐款成功！希望我小小的力量和 一起，在大大的世界里温暖更多人。 守护者后盾行动二期 ,无,无,2020-03-01 23:59,微公益,0,0,0
IwEohnRkl,肖色绯霞,3173619110,赠人玫瑰，手有余香。我在“守护者后盾行动二期”项目捐款成功！愿我和 让爱心传递。 守护者后盾行动二期 ,无,无,2020-03-01 23:59,微公益,1,0,0
IwEoh9oCR,Fantastic-0428,6886947605,担心再兴和我们d5😭要健健康康的啊 ,无,无,2020-03-01 23:59,前后2000万 OPPO R11,0,0,1
IwEogvbwK,搞笑壹锐,5319922019,韩国的口罩真是特立独行，这个造型让人无语，但是戴上的效果很好 搞笑壹锐的微博视频 ,无,无,2020-03-01 23:59,微博云剪,0,0,0
IwEofEf4R,用户6603902166,6603902166,关于新冠的最新判断，一图读懂！  ,无,无,2020-03-01 23:59,学习强国客户端,0,0,0
IwEofDgKf,烨椰-,1995124195, 想回国.... ,无,无,2020-03-01 23:59,椰子味的iPhone X,0,0,7
IwEo48XTV,熊newsoul,5252848554,教育部党组印发通知 部署统筹做好教育系统新冠疫情防控和教育改革发展工作  ,无,无,2020-03-01 23:59,学习强国客户端,0,0,0
IwEo45VJz,历下检察,2661549585,【直播！一线医务人员讲述“决战ICU”！】面对新冠重症、危重症病人，如何开展多学科、多手段联合救治？疫情之下，患有基础性疾病的老年人应如何应对？北京医院援武汉医疗队领队王建业在线解答↓↓关注！央视新闻的微博视频 ,无,无,2020-03-01 23:59,微博 weibo.com,7,5,8
IwEo3xhQ3,腾讯新闻,2806170583,【首例新冠尸检专家：“我们相当于在核辐射的核心”】主持首例新冠肺炎逝者遗体解剖的刘良教授接受采访，对于病理解剖的意义，他表示，“我们就想抓一个舌头回来，抓回来以后，让各种人去审讯你的番号、你的兵种……需要过封锁线，蹚地雷过去，然后再把人带回来，大家都不过去的话，你永远不知道对方有多少人在那，藏了什么东西在那，所以必须要有人冒险。”从目前的病理结果来看，一些死者的肺部切面上，能看到有黏液性的分泌物，他认为这是临床治疗需要警惕的地方。,无,无,2020-03-01 23:59,微博 weibo.com,0,0,0
IwEo3xiq5,楚天交通广播,2000016880,【城管队员治愈出院后再次请战！】  37岁的汤文欢是武汉市东西湖区径河街城管队的一名队员，新冠疫情发生后，立即报名参加隔离点的防疫先锋队。他说：“17年前非典时期，我19岁，作为一名军人值守北京小汤山，现在武汉疫情，我更要参加！” 2月19日，汤文欢被检查出感染新冠，随后根据全区统一安排到东西湖区人民医院治疗。2月27日下午，得知自己2次核酸检测结果为阴性后，汤文欢信心大涨，在微信群里发出若治愈，再上前线的请战誓言。根据身体状况和检查结果，今天下午，汤文欢即将从医院转入另一隔离点进行隔离。,无,无,2020-03-01 23:59,微博 weibo.com,15,6,5
IwEo3ubOM,湖北私家车广播,1685715705,【城管队员治愈出院后再次请战！】  37岁的汤文欢是武汉市东西湖区径河街城管队的一名队员，新冠疫情发生后，立即报名参加隔离点的防疫先锋队。他说：“17年前非典时期，我19岁，作为一名军人值守北京小汤山，现在武汉疫情，我更要参加！” 2月19日，汤文欢被检查出感染新冠，随后根据全区统一安排到东西湖区人民医院治疗。2月27日下午，得知自己2次核酸检测结果为阴性后，汤文欢信心大涨，在微信群里发出若治愈，再上前线的请战誓言。根据身体状况和检查结果，今天下午，汤文欢即将从医院转入另一隔离点进行隔离。,无,无,2020-03-01 23:59,微博 weibo.com,1,0,0
IwEo0Away,尤nini小厨房,6522287293, 打算开始戴口罩通勤..要不还是走去上下班好了 也就一小时 英国·Canary Wharf ,无,#英国新增12名新冠肺炎感染者#,2020-03-01 23:58,👀尤没有iPhone XS,0,0,0
IwEnZourL,石家庄说事儿,5736230891,【中国向日本捐赠5000套防护服和10万只口罩 】中国驻日本大使馆官方推特1日早晨发布了关于中国向日本捐赠5000件防护服和10万只口罩的推文，文中这样写道：“为支持、协助日本应对新冠疫情，在无偿提供检测用试剂盒之后，中国又捐赠了5000件防护服及10万只口罩，其中一部分已于2月27日、28日完成交付。今后我们也将根据日本方面的需求，在力所能及的范围提供支援与帮助，和日本的大家一起共渡难关。”推文发布后引起网友热烈反响，已获得数千转赞。许多日本网友都表达了感谢，甚至有人用中文发表了感谢的评论。,无,无,2020-03-01 23:58,OnePlus 7 Pro,0,0,1
IwEnZ7LzA,奶茶色lrig,3645057237,是时候先囤一波粮了问题来了明天的早课去不去呢🤔 英国·University of Birmingham ,无,#英国新增12名新冠肺炎感染者#,2020-03-01 23:58,小贝北鼻的iPhone X,11,0,35
IwEnYep7E,Snscar许微,2381636693,新加坡3月1日新增4例确诊新冠病例，累计确诊106例。（央视新闻） ,无,无,2020-03-01 23:58,iPad客户端,0,0,0
IwEnXjMXf,一品姑苏城,1879316273,【首尔市长喊话检察总长：逮捕新天地教会会长】近日，韩国新冠确诊病例数不断增加，其中上千例和新天地教会有关。3月1日，首尔市长朴元淳在社交媒体上发文喊话该教会会长李万熙出来道歉，并表示如果教会方面不采取必要措施，将以过失杀人罪等罪名提起诉讼。此外，朴元淳还要求总检察长逮捕李万熙。,无,无,2020-03-01 23:58,人民日报客户端,0,0,0
IwEnWqpID,绪刚观天,1740397697,【绪刚说事：去买妻想念的一碗米皮见闻】在东二环与咸宁路立交什字西南方向的人行道上，比较整齐地摆放着两行共享单车，只是象秦兵马俑一样呆呆地站立着。 ,无,无,2020-03-01 23:58,百度App,3,0,1
IwEnWpzqF,得道成仙三千年,6092172778,我过几天还去不去伦敦办法签阿,无,无,2020-03-01 23:58,Android,0,0,0
IwEnVzkn6,白兔大白,1931540420,去年2019年，做的最重要的小决定就是打了流感疫苗，而且是全家老小都打了！春节前疫情刚爆发那会，我差点被同事传染了流感，好在打过疫苗，只是有点低烧，但是同事连着高烧5天，赶上这么个疫情的情况，肯定吓坏了，还避免不了去医院。疫苗真是太重要了，什么时候新冠研究出来疫苗了，我每个冬天还要打,无,无,2020-03-01 23:58,iPhone客户端,0,0,0
IwEnR7RNN,用户7304815176,7304815176,【雷达视频】98岁高龄新冠危重症患者从雷神山医院治愈出院 98岁高龄新冠危重症患者从雷神山医院治愈出院  ,无,无,2020-03-01 23:58,UC浏览器Android,0,0,0
IwEnPCrmQ,LUCKCYBOBB,5037565295,一觉睡醒就35例了？？英国政府到底什么时候才能采取措施啊艹 还照样上学 外国人照样蹦迪聚集人多的地方 看来只能自保了 要是英格兰超过50例我就不去上学了,无,#英国新增12名新冠肺炎感染者#,2020-03-01 23:58,爱豆床上,69,1,39
