微博id,发布者,发布者id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Itsq0x557,内江环境,6204166582,【】近期，随着新型冠状病毒感染的疫情的发展，缅甸华人华侨、社会组织、民间机构及普通民众纷纷捐款，以不同方式向中国政府和人民传递祝福，表达“胞波”的坚定支持和浓浓深情。缅甸大叔U Aye Myint说：“抗击疫情，中国绝不孤单，我们愿与中国人民携手努力，一起战胜人类共同的敌人。祝愿中国人民早日战胜新型冠状病毒疫情，武汉加油！”（记者 李映青）中报视频,无,无,2020-02-09 23:59,荣耀V20 4800万3D相机,4,0,0
Itsq0vV2Y,用户珍惜身边的每一个人,7338969822,中国白衣天使加油💪。祝愿新冠 早日消除 啊弥陀佛 ,无,无,2020-02-09 23:59,iPhone客户端,0,0,0
Itsq0vUo9,53周期,5890785906,【海通策略】坚守（荀玉根、王一潇）核心结论：①受新冠肺炎影响，企业盈利原本有望在19Q3见底后回升，现变为20Q1二次探底再回升，牛市3浪上涨因此推后。②市场短期急跌空间已经比较充分，还需要时间盘整消化，等待疫情控制住及后续基本面数据支撑再上行。③坚定信心、保持耐心，盘整期结构性行情仍活跃，如科技，最终进入牛市3浪时券商优势将再现。【如果3浪来了就来了，那里有推后的】,无,无,2020-02-09 23:59,HUAWEI P10 Plus,0,0,0
Itsq0c3Fx,深圳卫视,1645773865,【《天使之美》｜献给全国抗击新冠前线的白衣天使！】这是一场没有硝烟的战争，最美的逆行者——白衣天使们，与时间赛跑，与病魔较量，奋战在疫区战场，他们用一次次无怨无悔的冲锋陷阵，诠释着白衣天使的意义。MV《天使之美》聚焦一线医护工作，旋律悠阔，歌词真挚，在处理上手法上，从全套防护的医护工作者入手，通过特效处理的线条勾勒，生动展现出医护工作者奋战的场景，与歌曲相得益彰，温暖感人。作词：吴广 江万泽作曲：江万泽监制：江万泽 王亮编曲/录音/混音：Jason Miro Studio和声：小晖 王亮演唱：洪茜茜监制：中共深圳市委宣传部出品：深圳广播电影电视集团录制：深圳广播电影电视集团娱乐中心《天使之美》歌词 虽然不知道你是谁但我知道你很累很累风里雨里几多回最美风景是你坚实的背口罩遮住了你的嘴但我知道你很美很美生死线上千百回最美风景是身边感动的泪奋战沙场无怨悔危难之时爱相随万里山河作口碑白衣天使你最美 ,无,无,2020-02-09 23:59,MV · 视频社区,22,12,3
ItspZATBF,狙击手伍德,1154335272,  钟南山：新型冠状病毒和SARS是两回事 二者是同一类但不是同一种钟南山：新型冠状病毒和SARS是两回事 二者是同一类但不是同一种 来自 ,无,无,2020-02-09 23:59,无,1,0,0
ItspZCy8K,寥寥春,2204819381,看了求助超话，已经无话可说了 ,无,无,2020-02-09 23:59,OPPO智能手机,5,0,0
ItspZCy6c,白白了鸭,1776360701,等一切都好起来，我们一定要好好拥抱对方，一定要！！ 晚安，全世界！ 武汉 ,无,#我的故事，只说给陌生的你听#,2020-02-09 23:59,Android,0,0,0
ItspZiI90,与狼共舞0108,5771456410, 与病毒争夺生命，湖南在坚持稳扎稳打，治愈的数量也在增多，抓住战机，形势趋稳向好，加油，大湖南！ 疫情防控不能贻误战机 ,无,无,2020-02-09 23:59,湖南日报新媒体,0,0,0
ItspZ4mBb,doodle天空,3645961760,2-9《岁月静好～因为有人替我们负重前行》,无,无,2020-02-09 23:59,HUAWEI Mate 8,0,0,0
ItspZ3ezV,可爱的大长腿,6017348373, 求助人信息（若有相关化验单，请上传图片）【姓名】许强【年龄】30【所在城市】湖北省武汉市【所在小区、社区】汉阳区马沧湖路名流公馆NK4区403栋2单元3201室【患病时间】【联系方式】13886007463我大学班主任导师，求助各位，帮帮我的老师！！！许强，家住武汉市汉阳区马沧湖路名公馆NK4区403栋2单元3201室。电话13886007463，爸妈因身体不适去医院做CT检查，结果均是双肺感染性病变，医生说通知社区进行隔离检测，但社区一直在登记，并无任何行动，打了所有电话也只是登记，回答说没有检测就没有确诊，现在只能在家进行隔离并无检测和治疗。昨天开始妻子也出现乏力，头疼等症状，家里孩子刚满2个月也开始咳嗽还在母乳阶段，实在是不敢去医院，也不知道能怎么办。怕因为没有及时隔离没有治疗赔上一家5口人的性命，孩子是无辜的，她连外面的世界都没有看过，也没有感受过社会带来的美好生活。无奈之下只能靠大家帮他想想办法，扩散消息，无论是检测也好，隔离也好，治疗也好，请帮帮忙吧，谢谢！！！,无,无,2020-02-09 23:59,肺炎患者求助超话,0,0,0
